Date/Time,BATIMENT0000000240879467_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/02  23:00:00,5243472.338551184,4292124.610696569,5315872.510554797,6382198.075903257 
 01/02  24:00:00,5509183.059366676,4503740.179973293,5585159.787253742,6711034.579166263 
 01/03  01:00:00,5846334.566485457,4773258.51860602,5926902.284970105,7127320.2161185155 
 01/03  02:00:00,6026393.073401173,4972939.355500672,6114089.40535756,7279232.169023726 
 01/03  03:00:00,6218186.932854619,5143235.959771957,6310175.529118769,7494883.346702833 
 01/03  04:00:00,6374254.553808229,5272931.428840313,6469079.4159971,7681882.857716772 
 01/03  05:00:00,6484092.508267514,5365649.798588517,6581054.409040236,7811904.277915776 
 01/03  06:00:00,6549009.661402962,5423206.287892184,6647426.140080212,7885469.743100526 
 01/03  07:00:00,6614065.906151021,5481150.551269163,6713808.346179025,7958705.317478744 
 01/03  08:00:00,6669467.788364597,5529961.989382325,6770256.46766373,8021744.209248437 
 01/03  09:00:00,6719722.173352583,5573166.455880009,6821477.705859834,8080502.218189399 
 01/03  10:00:00,6684534.160161696,5556984.036438648,6787459.273279558,8029107.399362176 
 01/03  11:00:00,6458562.440215821,5431206.872763165,6565309.531349465,7716481.498209912 
 01/03  12:00:00,6034334.773470395,5197388.322698617,6140637.015169541,7121879.562975611 
 01/03  13:00:00,5672375.468438728,5028493.309571482,5794042.265134241,6597512.216186032 
 01/03  14:00:00,5303941.654201788,4844151.756693138,5578492.63448792,6202682.218813799 
 01/03  15:00:00,4811368.008984302,4680904.618479596,5513378.237373154,5803825.001744189 
 01/03  16:00:00,4100317.894065664,4629960.906450644,5682028.660015049,5636590.390481523 
 01/03  17:00:00,4967010.276133591,5185240.373514407,6212483.764498765,6597191.486184588 
 01/03  18:00:00,6872838.777668094,5990836.687550178,7153970.488235152,8175847.030477181 
 01/03  19:00:00,7543125.054476671,6506409.357609218,7795204.366718327,8965488.078104408 
 01/03  20:00:00,7764262.570460514,6670474.280166697,7992694.167989189,9212731.9808869 
 01/03  21:00:00,8084940.5534588555,6918751.6096609635,8293534.680429219,9580670.456384491 
 01/03  22:00:00,8458551.58039961,7212223.868378145,8654315.699665518,10019861.744362768 
 01/03  23:00:00,8686697.250025041,7403361.679917797,8870244.22063333,10266350.098585032 
 01/03  24:00:00,9183445.748601913,7825811.637083901,9361372.943999171,10826604.91069598 
 01/04  01:00:00,9541611.081299597,8102863.433299568,9717130.057009678,11267072.429609573 
 01/04  02:00:00,9645660.253150994,8156000.329697741,9817903.096486464,11427782.86014818 
 01/04  03:00:00,9270923.79183581,7766684.004477432,9433864.222271414,11076082.526604392 
 01/04  04:00:00,8963409.605360955,7450816.126841325,9116543.31773394,10778236.973110106 
 01/04  05:00:00,9035203.541334763,7498148.045218287,9183581.411788795,10871449.895412331 
 01/04  06:00:00,9133273.888697281,7568518.66715227,9281659.472761255,10999905.467685899 
 01/04  07:00:00,9231465.369732555,7640280.653107509,9380241.26602862,11127615.543799134 
 01/04  08:00:00,9234413.198853664,7638716.267818776,9380923.023659864,11133108.319452148 
 01/04  09:00:00,9218132.239902755,7623874.145855436,9363424.834590783,11114913.25179917 
 01/04  10:00:00,9128574.400253516,7579767.412551024,9275433.495111443,10989016.90069684 
 01/04  11:00:00,8521859.603033757,7193414.552351085,8665121.409027731,10176632.547522983 
 01/04  12:00:00,7614749.275125916,6552496.119061453,7702998.817259657,8965159.158826262 
 01/04  13:00:00,6458446.579178998,5698846.066216906,6592848.872819579,7563896.669512729 
 01/04  14:00:00,5515151.0284391325,5114826.582701409,5922300.5942514,6519665.592993148 
 01/04  15:00:00,4788116.176077267,4713277.782989646,5560625.799753916,5816377.69665414 
 01/04  16:00:00,4036038.805223194,4449414.895348989,5433334.077541103,5497407.035584426 
 01/04  17:00:00,4269587.884411534,4593571.3309216695,5582600.075444776,5917586.942087047 
 01/04  18:00:00,5793336.095241039,5009677.7836858155,6060176.794113258,7004871.182308778 
 01/04  19:00:00,6056270.995486276,5181825.787690364,6287822.238561746,7314431.927372264 
 01/04  20:00:00,6228756.158711018,5291507.878878125,6433258.4604713395,7515991.07725064 
 01/04  21:00:00,6230252.045802193,5274375.219592777,6412175.505597678,7504305.886661644 
 01/04  22:00:00,6268878.548557301,5293830.288338357,6440153.941884749,7544436.853851401 
 01/04  23:00:00,6257391.006048889,5273085.032467551,6413644.446971704,7520867.83200287 
 01/04  24:00:00,6190944.208327144,5209027.778233447,6334840.023946785,7434062.165032612 
 01/05  01:00:00,6312848.923423592,5297528.690354612,6447903.8446706375,7578786.584038502 
 01/05  02:00:00,6377780.700002136,5345647.747363312,6505895.352498161,7651293.927463945 
 01/05  03:00:00,6358288.557390961,5326962.583590949,6479631.631336189,7620888.2547524925 
 01/05  04:00:00,6391957.502739769,5350547.642406157,6507555.08271589,7656987.270025551 
 01/05  05:00:00,6392626.506955226,5347593.793096533,6504075.326882804,7655637.188781126 
 01/05  06:00:00,6374947.674010431,5330309.507803865,6483275.6114441715,7633017.025513513 
 01/05  07:00:00,6372728.784583708,5325832.335465734,6478082.495652372,7629104.073828123 
 01/05  08:00:00,6388907.91168027,5335953.536028111,6491033.287196993,7647598.769480955 
 01/05  09:00:00,6329755.62276987,5286218.608577554,6427323.991050156,7573097.128545557 
 01/05  10:00:00,6200381.609114617,5186709.946265947,6293578.773253126,7408579.746528247 
 01/05  11:00:00,5968324.653930034,5027448.959206076,6060536.925022265,7105979.854861447 
 01/05  12:00:00,5556652.324379979,4736090.1420571,5645119.3627386885,6572366.911704929 
 01/05  13:00:00,5191062.526834611,4459858.864879947,5279067.122941171,6114810.214905339 
 01/05  14:00:00,4751301.928123457,4148345.3028031406,4838980.757095635,5550638.71910398 
 01/05  15:00:00,4593426.555742501,4059998.7952937335,4684434.284404295,5321387.125947233 
 01/05  16:00:00,4697229.797496402,4179591.614505756,4815073.186651946,5432944.108532911 
 01/05  17:00:00,4658913.562033771,4232877.830818627,4914150.959406943,5503561.422113039 
 01/05  18:00:00,5369653.777372432,4618257.068642861,5461907.966285096,6281430.62375726 
 01/05  19:00:00,5747934.927124851,4920142.175742285,5839561.550105519,6736098.674767376 
 01/05  20:00:00,6022728.592110543,5148067.269451612,6115429.150279827,7058749.773588342 
 01/05  21:00:00,6180724.752094078,5273303.775255998,6273893.225545636,7250997.367745933 
 01/05  22:00:00,6112339.280448731,5200389.544895458,6203960.5978473555,7188024.989450334 
 01/05  23:00:00,5938870.849159942,5034736.414756167,6028306.703425856,7007707.654700092 
 01/05  24:00:00,5659482.48042062,4768582.763993281,5746460.542525163,6718984.4230615 
 01/06  01:00:00,5512169.711417373,4623778.687751548,5597384.315527767,6571517.501763185 
 01/06  02:00:00,5561977.837450799,4657802.7910089325,5647464.508751923,6639089.869733719 
 01/06  03:00:00,5644401.536225929,4719169.0667754905,5728553.759277719,6743206.741909964 
 01/06  04:00:00,5852927.233638076,4907292.682314575,5936072.511699362,6967850.210722251 
 01/06  05:00:00,5833743.89681193,4887524.181949826,5915614.7856940795,6948507.89132517 
 01/06  06:00:00,5732322.568706352,4784703.527448067,5810799.865486799,6849036.3430497 
 01/06  07:00:00,5708414.601658225,4765510.612491325,5786143.205438198,6819074.112166826 
 01/06  08:00:00,5712936.519419672,4768226.917311744,5790558.68001874,6825290.66608427 
 01/06  09:00:00,5699992.559511408,4758382.388719386,5776917.303771867,6808784.001596754 
 01/06  10:00:00,5628517.778023612,4715881.385319925,5702615.067681922,6709244.772398499 
 01/06  11:00:00,5365503.050307499,4572657.7901642965,5431015.69955393,6332847.428647729 
 01/06  12:00:00,4967569.496362537,4348602.0424057,5011980.74000039,5759548.787199491 
 01/06  13:00:00,4625734.326210624,4144244.9658343885,4673596.879084155,5297917.467796 
 01/06  14:00:00,4233026.441325114,3915419.1561664036,4398784.576786858,4866926.1795536475 
 01/06  15:00:00,3967979.7412443594,3797511.9745300254,4340303.475168147,4659401.136597767 
 01/06  16:00:00,3974396.5399945667,3877661.5905308574,4536055.695845492,4893215.349760116 
 01/06  17:00:00,4429945.275796401,4129815.978976923,4880328.866895947,5469749.825691924 
 01/06  18:00:00,5207824.957166292,4435251.488608002,5342229.572918998,6225553.332698876 
 01/06  19:00:00,5689700.474283208,4830584.994533641,5817741.508692048,6782134.596825054 
 01/06  20:00:00,6214439.787909336,5259775.231693573,6340993.169126211,7400783.507924269 
 01/06  21:00:00,6504669.717504411,5483763.061283072,6626949.663086603,7755083.5348079065 
 01/06  22:00:00,6987757.416414044,5906393.404949027,7113158.12469432,8295898.338396488 
 01/06  23:00:00,7450022.7795815,6303607.888052711,7578924.856134028,8823536.053117806 
 01/06  24:00:00,7639194.063703081,6468829.563368008,7768240.514146727,9034045.545747925 
 01/07  01:00:00,7600637.601460394,6465258.027162349,7728973.869722966,8950324.973279743 
 01/07  02:00:00,7631797.155713142,6498049.575568579,7759098.990300391,8975093.22060869 
 01/07  03:00:00,7727424.460132601,6577769.773743983,7854137.520249474,9085850.611942438 
 01/07  04:00:00,7708075.348919128,6560927.610588036,7833113.933022648,9061182.128666943 
 01/07  05:00:00,7674658.584806265,6521014.213920372,7797044.921044676,9033412.321305385 
 01/07  06:00:00,7721314.9586579185,6553252.795077518,7842688.522136689,9094686.357772443 
 01/07  07:00:00,7617354.575803474,6459297.536464841,7735536.458302824,8977969.508197905 
 01/07  08:00:00,7401940.445959015,6268143.877906201,7515082.436614796,8733788.458166618 
 01/07  09:00:00,7262287.238664141,6136559.796421323,7371375.488733349,8585985.529229619 
 01/07  10:00:00,7006422.356534814,5942309.076745442,7083684.139948415,8251680.686363051 
 01/07  11:00:00,6200427.532235846,5296519.44893576,6035071.923731781,7059631.360817534 
 01/07  12:00:00,4923024.024934773,4247321.383240193,4603672.52276128,5412789.437316059 
 01/07  13:00:00,3784062.357607609,3399156.89992065,3819728.373717783,4353786.684036235 
 01/07  14:00:00,2414101.1275364826,2619140.3532356154,3208007.6359687825,3129746.4050238146 
 01/07  15:00:00,1428680.5031639382,2324730.214094447,3259937.7173352526,2450547.012215314 
 01/07  16:00:00,1277606.5949064228,2718079.2202062462,3757332.859886298,2939667.0787394727 
 01/07  17:00:00,2691724.37395936,3367931.4718861133,4139015.4590729643,4059846.9598533437 
 01/07  18:00:00,4224422.772423398,3808827.5063654166,4618253.450694556,5172078.323580907 
 01/07  19:00:00,4622172.349204032,4095222.4707938205,4958303.461734536,5611587.408475346 
 01/07  20:00:00,4620801.172011582,4035967.1340836682,4905550.6431756895,5611824.394503497 
 01/07  21:00:00,4718659.46893352,4103457.708515425,4963928.946573238,5686224.466480834 
 01/07  22:00:00,4922221.046210725,4284092.0438786745,5139643.252670457,5867670.677482372 
 01/07  23:00:00,4960112.715624085,4299289.001044898,5151280.6992943175,5894251.073063179 
 01/07  24:00:00,4897152.3296204135,4209010.563342563,5062865.004828026,5834234.816850455 
 01/08  01:00:00,4626141.421644887,3941525.415929009,4768456.868348378,5538806.623557091 
 01/08  02:00:00,4496852.574513431,3812661.8349259663,4622801.894709397,5391101.178538579 
 01/08  03:00:00,4490664.2246981915,3797381.026488563,4604577.629282062,5379476.354927556 
 01/08  04:00:00,4479224.166807078,3778882.20525242,4583709.128186457,5363726.175379576 
 01/08  05:00:00,4503761.134559264,3788952.332890453,4600372.900045508,5394348.473371807 
 01/08  06:00:00,4699273.438322847,3952590.442898481,4792192.675082714,5616636.719908435 
 01/08  07:00:00,4807149.252662512,4032387.3564661234,4896485.749635579,5751074.77475731 
 01/08  08:00:00,4772887.278212692,3989139.3636937174,4858011.557472786,5724291.870198104 
 01/08  09:00:00,4924390.781434828,4091268.432936156,5007660.5239591375,5931731.609560478 
 01/08  10:00:00,5067070.442615577,4201699.536896252,5150391.547160799,6116092.033473365 
 01/08  11:00:00,4667499.093762179,3974639.7332442286,4751047.752553488,5543851.227971951 
 01/08  12:00:00,4167236.693506761,3649918.215156922,4213863.775928261,4846120.313990217 
 01/08  13:00:00,3924141.399055074,3511403.519756386,3976178.0589583423,4507921.962705804 
 01/08  14:00:00,3556861.9158502496,3278083.4021552145,3708936.9666624987,4112343.4742353284 
 01/08  15:00:00,3029362.061047825,2985865.993355443,3448785.0873831706,3615065.8737104493 
 01/08  16:00:00,3576017.3428695975,3285692.2838259386,3823801.59637262,4265316.0106634395 
 01/08  17:00:00,3498128.040584062,3331149.915371725,3949792.701999357,4397549.984625534 
 01/08  18:00:00,4255316.549958952,3641741.169182637,4371990.196913623,5074423.417442455 
 01/08  19:00:00,4318672.105632227,3672266.7808896066,4422428.9569885535,5153473.529624136 
 01/08  20:00:00,4349835.105667329,3670105.715391868,4446053.150091979,5212577.6087402655 
 01/08  21:00:00,4535754.719517862,3809073.328244729,4627884.86077915,5442942.776841519 
 01/08  22:00:00,4891704.792262323,4116765.2265104856,4983386.712288109,5842586.930348792 
 01/08  23:00:00,5190142.965686912,4377651.937441833,5281709.703591799,6174065.795252096 
 01/08  24:00:00,5340731.108311461,4496420.806969654,5431015.78815128,6356320.051445773 
 01/09  01:00:00,5712996.410025519,4830273.495003,5805123.24755531,6763138.593049543 
 01/09  02:00:00,6263758.471383079,5330439.549125418,6359011.150383567,7359533.151347169 
 01/09  03:00:00,6855148.054558314,5824087.968954603,6956023.88114096,8059251.889616921 
 01/09  04:00:00,7368999.556255069,6242729.243744517,7476240.349877899,8682385.875181003 
 01/09  05:00:00,8053973.59566846,6836486.344203389,8168545.456019084,9465921.518656584 
 01/09  06:00:00,8810036.36093198,7481543.865386605,8934017.175695905,10345375.461189706 
 01/09  07:00:00,9298478.027489621,7887529.147179494,9429547.155567091,10928665.738041563 
 01/09  08:00:00,9342881.728711467,7908048.1654195255,9475822.850066243,11004744.61990187 
 01/09  09:00:00,8958985.227540134,7540800.051011927,9087259.667998144,10613650.604172636 
 01/09  10:00:00,8368908.837372239,7047055.861973177,8491357.242765391,9941498.050600803 
 01/09  11:00:00,7559347.065912321,6479753.5685568135,7618917.94983658,8845489.276099827 
 01/09  12:00:00,6712377.061348981,5867324.215576458,6605626.616687218,7614937.825028719 
 01/09  13:00:00,5827464.198031279,5258328.2248228155,5932157.11925912,6684996.432838589 
 01/09  14:00:00,5090264.834567241,4844500.126457032,5564267.059677062,5988686.528267755 
 01/09  15:00:00,5099030.437009362,5034295.925829666,6063043.017512879,6292438.762017097 
 01/09  16:00:00,7645598.223905225,6352663.531821351,7833156.9291667,9298420.482215885 
 01/09  17:00:00,5956276.936758519,5867408.450938066,7107476.188059207,7814121.124179713 
 01/09  18:00:00,7609567.59652735,6524683.667438513,7822868.902105719,9038655.393309737 
 01/09  19:00:00,8004597.184614638,6844124.019476226,8199266.142477328,9480541.644813895 
 01/09  20:00:00,8223967.844508727,7006210.439405569,8406189.241410205,9742737.079441091 
 01/09  21:00:00,8446907.377223408,7176188.632848053,8619568.03855829,10007617.608229619 
 01/09  22:00:00,8437967.95644197,7155871.022976536,8601107.351652939,9998089.710599724 
 01/09  23:00:00,8302086.340764843,7017556.747415641,8455755.044583485,9856299.627832709 
 01/09  24:00:00,8429020.755884195,7106524.6748632565,8576927.992772337,10017199.574422173 
 01/10  01:00:00,8511059.568085888,7158505.177469039,8654768.983661477,10127204.74797902 
 01/10  02:00:00,8573917.94366524,7198349.112032771,8714191.850876704,10211212.26821418 
 01/10  03:00:00,8536386.688472712,7154821.005975214,8673018.030824741,10177510.823050426 
 01/10  04:00:00,8482701.003487824,7086591.053128683,8617509.33796761,10141736.615262236 
 01/10  05:00:00,8571193.641648537,7148877.134371476,8706684.565008111,10260441.643189969 
 01/10  06:00:00,8936171.796641951,7471308.924357751,9074489.236750938,10667532.546356354 
 01/10  07:00:00,9367489.3475726,7837271.413305389,9511308.141529873,11171173.847403558 
 01/10  08:00:00,9040925.606176993,7531993.576564701,9182264.28006324,10828183.475325657 
 01/10  09:00:00,9100559.425651822,7538152.733277665,9227145.38525443,10940768.291227633 
 01/10  10:00:00,9615660.121089436,8035051.998443009,9735666.290548505,11479894.898184728 
 01/10  11:00:00,9076693.223434346,7769150.52921113,9046735.068019,10533019.370972434 
 01/10  12:00:00,7904642.0355904745,6903819.620956132,7728823.5545048695,8916854.85987639 
 01/10  13:00:00,6346857.315875973,5689784.471545553,6421990.286384688,7294376.648204387 
 01/10  14:00:00,4519469.958764926,4567589.273030434,5448154.884452873,5605071.38354481 
 01/10  15:00:00,4052395.6356062675,4863110.87615043,6153937.991995275,5476350.589371171 
 01/10  16:00:00,5185110.021704297,5801637.5002640765,7067844.934565192,6957295.891134592 
 01/10  17:00:00,6137257.611505108,5882438.681493794,7000165.070274059,7664591.26794515 
 01/10  18:00:00,6667916.899127676,5782349.406518396,6995810.674219333,8029269.93570451 
 01/10  19:00:00,6728518.356345584,5767962.4973485945,7007942.080883718,8112680.75053524 
 01/10  20:00:00,6901471.744320689,5872481.735431362,7146246.481848727,8315934.626037854 
 01/10  21:00:00,7013656.194795225,5936217.048129524,7230988.256600412,8445737.553498162 
 01/10  22:00:00,7131291.728570883,6007260.953178981,7325777.446368216,8585114.425731763 
 01/10  23:00:00,7230358.071666977,6068244.843341958,7407213.59127968,8703419.524629483 
 01/10  24:00:00,7208832.83889052,6040059.102758147,7369196.988245934,8667858.303865002 
 01/11  01:00:00,7603192.625296483,6368693.44572988,7757231.500344239,9119659.812306825 
 01/11  02:00:00,7816651.651482648,6525334.5406253,7962172.555092473,9385159.830691908 
 01/11  03:00:00,7835839.73234015,6512648.2833159175,7971725.857645648,9431573.123188617 
 01/11  04:00:00,7817011.3960955255,6493729.501055598,7945863.396623898,9404032.25803244 
 01/11  05:00:00,7749099.533406945,6437631.307659463,7872247.295921961,9315548.208505604 
 01/11  06:00:00,8005343.919645894,6641632.907318051,8140075.64360814,9640362.318250941 
 01/11  07:00:00,8113846.657089017,6724674.780794386,8249356.983990024,9777493.249879243 
 01/11  08:00:00,8126874.958120576,6731615.555576028,8260305.188962185,9793521.9657628 
 01/11  09:00:00,8375641.066391236,6956220.704284286,8510609.60389799,10059681.236256137 
 01/11  10:00:00,8195350.567482974,6861156.0961808935,8310174.381327223,9782375.318370204 
 01/11  11:00:00,7225392.558698194,6147400.1150255175,7306653.663919596,8538287.628996275 
 01/11  12:00:00,6492035.338056037,5603136.744202309,6548050.45047452,7598693.94874913 
 01/11  13:00:00,6248203.769161084,5421411.595700996,6314976.245344208,7299194.798178761 
 01/11  14:00:00,6600693.425417113,5581925.531008236,6683112.900677824,7845204.965591185 
 01/11  15:00:00,6896490.238670558,5739097.314045154,6987308.080211712,8291372.1118517695 
 01/11  16:00:00,5981413.530709089,5268060.825616147,6219349.794828964,7140147.060464961 
 01/11  17:00:00,5489104.1594719365,5060982.657040186,6042621.239553723,6841692.042371478 
 01/11  18:00:00,6418448.3272199,5411466.513270487,6546634.1476339325,7686042.078670341 
 01/11  19:00:00,7414341.434354621,6283721.813116671,7548500.770052645,8791963.699250257 
 01/11  20:00:00,8476130.91836078,7217078.817629397,8616871.55958356,9976586.333112445 
 01/11  21:00:00,9020772.8325234,7669105.328500813,9165296.135733802,10618633.221014438 
 01/11  22:00:00,9132443.93352431,7751973.874091867,9276379.593270324,10758620.502574567 
 01/11  23:00:00,9304897.530801095,7884168.840079529,9449100.75736049,10972927.952734506 
 01/11  24:00:00,9402419.160147524,7898961.740721466,9549773.671103813,11178964.8393198 
 01/12  01:00:00,9751281.411406277,8158137.600095074,9903480.080075635,11634475.082214551 
 01/12  02:00:00,10215039.128721772,8586589.728889955,10370728.70311802,12126673.417823456 
 01/12  03:00:00,10678029.445834903,8983863.560703875,10838391.57714632,12660041.751928601 
 01/12  04:00:00,10736989.596615177,9002456.125748951,10899821.44188107,12771927.043378334 
 01/12  05:00:00,10163051.689160436,8457063.35061906,10320321.69318626,12179050.99955921 
 01/12  06:00:00,9745189.113368971,8071347.503796477,9897412.24259781,11730850.460896973 
 01/12  07:00:00,10243939.869886108,8534834.205335977,10400509.180028202,12259518.764244827 
 01/12  08:00:00,10527064.545235835,8797083.240319401,10685986.308832146,12559767.000870023 
 01/12  09:00:00,9858797.345980493,8198669.293701667,10010743.422693243,11822537.630930986 
 01/12  10:00:00,9161605.234414918,7609389.3159242375,9285845.158373922,10998559.063243628 
 01/12  11:00:00,8600510.33042627,7268035.212087016,8708117.17553033,10203288.931821167 
 01/12  12:00:00,7317608.855788371,6323292.816070335,7376996.679272753,8542269.461703416 
 01/12  13:00:00,6121707.9853153145,5383853.779078884,6185168.244741563,7092661.121817783 
 01/12  14:00:00,5450068.332867159,4880757.814713589,5567260.888486878,6297340.740817856 
 01/12  15:00:00,5172763.007094553,4647223.47436599,5331572.03390518,6004296.938502709 
 01/12  16:00:00,4749215.067204311,4466410.27409528,5211380.355934825,5751550.792001695 
 01/12  17:00:00,4784741.44009153,4590889.727191016,5448969.023169927,6055198.267419962 
 01/12  18:00:00,5843682.179495383,4981522.716242163,5985095.2177461535,6976077.6369640995 
 01/12  19:00:00,6183506.414660086,5225893.783639615,6315102.65277056,7396495.551822841 
 01/12  20:00:00,6404312.33513757,5389058.696262761,6529175.79406862,7667279.53642818 
 01/12  21:00:00,6570389.846539013,5511084.936370922,6689827.160869907,7870999.85514164 
 01/12  22:00:00,6771967.806216283,5666313.976954282,6892484.953337648,8121166.449127689 
 01/12  23:00:00,6933090.993279111,5791506.472816782,7055394.013008613,8319518.242671974 
 01/12  24:00:00,7053494.77032797,5878756.764167866,7174065.56793526,8472785.890891405 
 01/13  01:00:00,7099680.217669197,5907569.094432383,7217934.65159852,8534683.412429731 
 01/13  02:00:00,7132935.767306252,5931083.277425855,7249301.749662931,8574977.534089316 
 01/13  03:00:00,7133392.683096753,5929433.65380223,7247706.579328657,8574451.972108992 
 01/13  04:00:00,7065063.782263886,5872932.772490505,7176645.435070264,8489329.0798024 
 01/13  05:00:00,6981151.328310387,5803813.458294134,7090188.4380300455,8385712.8621933535 
 01/13  06:00:00,7087723.10054001,5860494.001896098,7192737.710570116,8549490.638561146 
 01/13  07:00:00,7101416.219962748,5858680.937800422,7203873.41802695,8578789.954431226 
 01/13  08:00:00,6860325.746800959,5684441.228010461,6958096.264307986,8253828.058673345 
 01/13  09:00:00,6710009.9143478,5564552.270015988,6804746.857907272,8067024.74008505 
 01/13  10:00:00,6615108.005644931,5500914.355701824,6706447.07629543,7938991.872999177 
 01/13  11:00:00,6404783.522019942,5376334.8376829,6488219.584571761,7643702.17115875 
 01/13  12:00:00,6066455.667513097,5201401.375355505,6133364.615756901,7133947.077227259 
