Date/Time,BATIMENT0000000240879449_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/04  08:00:00,4960864.135703756,3489618.2627695906,3465412.427857462,3494830.0004192158,4999608.160561401 
 01/04  09:00:00,4954100.483130025,3482790.3156586788,3458347.963017116,3487777.9595570704,4990878.549546071 
 01/04  10:00:00,4892871.531516105,3458612.004214136,3434087.35799549,3463416.545083016,4930907.589227868 
 01/04  11:00:00,4516636.51115699,3264179.557447883,3240972.3027958386,3268759.503912792,4557257.1289396435 
 01/04  12:00:00,3991680.485293282,2964621.930279873,2943428.5207841876,2968784.005455957,4021038.1665962217 
 01/04  13:00:00,3297077.7539537884,2572672.0693856697,2554889.489483028,2577810.9703678763,3427785.89542404 
 01/04  14:00:00,2695089.033110936,2283253.29873685,2269962.970190011,2291156.82966923,3038981.3790976424 
 01/04  15:00:00,2207284.054351775,2077907.160001869,2069417.8614596976,2093090.5039523707,2823166.161323932 
 01/04  16:00:00,1635990.60625152,1907151.4027702864,1915874.9967683312,1983933.0341088236,2732363.703200978 
 01/04  17:00:00,1589297.8665903024,1902394.3470489918,1939723.5715108367,2001826.0183539041,2795624.498608925 
 01/04  18:00:00,2815155.027094124,2108117.959320682,2100394.7936309823,2127656.923205152,3054639.7200460783 
 01/04  19:00:00,2965297.6894321027,2178092.0034221564,2168525.6744766426,2195063.7695261408,3166706.1493417732 
 01/04  20:00:00,3066786.2217445103,2222344.673390394,2211257.434572474,2237259.2919612383,3238837.609821424 
 01/04  21:00:00,3087460.664487284,2215253.073886412,2202964.9913274567,2228264.627520282,3231216.4806129853 
 01/04  22:00:00,3126387.237706249,2225631.4330588453,2212294.495915493,2236928.6455216156,3246033.332396133 
 01/04  23:00:00,3131414.8638544143,2214813.9824320567,2200605.724931808,2224748.7265241793,3233205.224551677 
 01/04  24:00:00,3096788.338828318,2177941.4111733073,2163254.6264760187,2186829.0721404226,3184808.137988758 
 01/05  01:00:00,3172736.6192329978,2220831.475548173,2205271.6284331093,2228631.6349802706,3247176.386892107 
 01/05  02:00:00,3226008.087384994,2253246.0700281817,2237001.3060904313,2260273.136690192,3290977.772233926 
 01/05  03:00:00,3223712.4280615062,2247103.558597723,2230518.9261597795,2253504.7478490425,3281096.569632259 
 01/05  04:00:00,3249185.9056683835,2261089.5830490896,2244112.832896416,2266931.1654519923,3300031.6379039576 
 01/05  05:00:00,3259002.489276906,2263342.7417749036,2245966.6547059827,2268670.490921732,3303974.224246339 
 01/05  06:00:00,3252039.602045959,2254060.1973336535,2236399.7088500755,2258932.762353711,3291821.9911178024 
 01/05  07:00:00,3255194.761861166,2252912.1644899063,2234994.7770608114,2257405.7655899776,3290938.7252323553 
 01/05  08:00:00,3268516.1135406937,2259902.758683732,2241753.3499608096,2264086.085908584,3301308.3921482475 
 01/05  09:00:00,3243746.4996985127,2240026.808345106,2221677.2024385883,2243882.3247039933,3273975.1019051 
 01/05  10:00:00,3170500.394582944,2190716.7916236026,2172447.129156801,2194294.2908555884,3198408.310445095 
 01/05  11:00:00,3032561.3950583064,2113046.5243765023,2095207.3450933553,2116364.9847721914,3058384.338571475 
 01/05  12:00:00,2788670.372667345,1968877.0857966966,1951998.312931084,1971922.1005720315,2813015.3663563887 
 01/05  13:00:00,2568392.0159448404,1823287.2836725852,1807262.8857994275,1826088.4774317811,2593466.8692710977 
 01/05  14:00:00,2297803.688016707,1660633.0486499781,1645833.2714762487,1663240.1505589006,2324895.3533694674 
 01/05  15:00:00,2176055.415129522,1597623.1278397986,1583813.3380711349,1600176.4779249108,2206060.183179855 
 01/05  16:00:00,2201010.518633925,1636405.3181163282,1623580.1386571743,1640589.7354069832,2250152.607715677 
 01/05  17:00:00,2095053.6218851686,1646255.1728737296,1640260.829867919,1661156.674542095,2296488.2201576987 
 01/05  18:00:00,2557633.132423958,1814678.9378093746,1801069.9939458582,1818420.4250165033,2588672.150029934 
 01/05  19:00:00,2759378.297427984,1953164.0393607903,1938776.7292384983,1956666.363617246,2784041.7111544064 
 01/05  20:00:00,2908546.182168649,2061060.9159678633,2046119.9992291452,2064444.368087898,2930178.561169603 
 01/05  21:00:00,3003225.0703935283,2126675.0984262577,2111283.372988413,2129937.6772235604,3022691.166022001 
 01/05  22:00:00,2985209.160775236,2102536.102138272,2086774.707006594,2105600.885788401,3003023.4510203507 
 01/05  23:00:00,2908506.4213766297,2031641.8355316697,2015662.8669597746,2034475.9598372176,2925040.3581395024 
 01/05  24:00:00,2775423.02932555,1911304.0805783237,1895097.9489223454,1913878.2518818113,2791523.564570543 
 01/06  01:00:00,2695090.0519695175,1836680.8373413295,1820346.6172429784,1839087.5298170142,2710816.043700189 
 01/06  02:00:00,2719859.4082200564,1848117.0871536245,1831517.6721410695,1850442.9222274236,2734815.8882609243 
 01/06  03:00:00,2762728.2671429515,1875997.3004414276,1859118.062930955,1878308.6005676598,2780482.3849959346 
 01/06  04:00:00,2867612.1940362602,1962194.34049956,1945113.0439522169,1964593.3167500803,2887698.9941602116 
 01/06  05:00:00,2872567.3213540656,1964887.956688205,1947671.343163734,1967254.1727938447,2892387.1286212318 
 01/06  06:00:00,2823344.1192032495,1916668.6514881225,1899308.3600879894,1918924.6689015133,2841797.0975315557 
 01/06  07:00:00,2821675.364458004,1915455.5941447918,1897991.6000713345,1917680.345103795,2839916.5587803666 
 01/06  08:00:00,2829977.8094420084,1921479.6625821458,1903975.112496411,1923684.8582240618,2848100.274020518 
 01/06  09:00:00,2829376.597304879,1921267.8892169432,1903654.603144304,1923450.1792507288,2847147.8701281263 
 01/06  10:00:00,2786941.190977065,1901809.1762061818,1884306.896293428,1903944.0784974615,2802274.2471280894 
 01/06  11:00:00,2624464.1274067378,1837642.5089523373,1820928.1299846496,1839648.4003714425,2632257.683945882 
 01/06  12:00:00,2374459.4761653366,1732717.2743190457,1717472.442889739,1734541.8478773404,2371872.21806073 
 01/06  13:00:00,2149179.1058407505,1633886.5509796105,1620197.2339675818,1635811.3222259332,2161522.1644292623 
 01/06  14:00:00,1885505.144767974,1528817.5985642285,1517380.7943237145,1532141.9701432788,2004806.4141502227 
 01/06  15:00:00,1689572.1304362118,1472526.1303011428,1463557.3716333404,1479629.987529845,1968835.7909288076 
 01/06  16:00:00,1647150.8688269265,1490323.681001065,1486219.6652449274,1519437.3949740431,2066889.4668461399 
 01/06  17:00:00,1860080.5881127643,1582995.5674555122,1586727.7664115794,1615754.54141786,2262457.7112300424 
 01/06  18:00:00,2448894.864715877,1733118.3424144234,1721390.6018667263,1740722.4740159945,2540816.8374074036 
 01/06  19:00:00,2717388.6671325266,1921697.639610982,1908760.3729069997,1928570.3555115513,2796938.582882289 
 01/06  20:00:00,3008201.2569595575,2128785.956061095,2114634.224628592,2135222.824343498,3080310.808960491 
 01/06  21:00:00,3175994.528918205,2238113.1395774395,2222891.426116008,2244079.284190027,3240656.7933542095 
 01/06  22:00:00,3449068.2692472395,2449637.5146674537,2433514.801965723,2455350.1484230803,3509489.2081594933 
 01/06  23:00:00,3710010.638911425,2649435.1058010655,2632505.2153847846,2654976.9684363995,3767167.2869439917 
 01/06  24:00:00,3815856.8528539436,2728709.30019958,2711166.647073247,2733995.2861968465,3869669.27079098 
 01/07  01:00:00,3801412.4244040996,2731780.064926565,2714163.7080099573,2736784.5044318717,3852298.884860918 
 01/07  02:00:00,3825150.8541290406,2752789.389914133,2735060.001378536,2757552.1687402707,3873322.0116699766 
 01/07  03:00:00,3886314.285769287,2797065.9338543694,2778943.6522298004,2801659.9765077196,3932161.140175265 
 01/07  04:00:00,3874396.3714470947,2785274.861799398,2766982.5698096966,2789661.2937028175,3917831.9730078527 
 01/07  05:00:00,3848074.534428245,2754762.069106365,2736223.515598296,2758927.7252896586,3888424.043579523 
 01/07  06:00:00,3859412.7853301633,2755531.448867014,2736740.5571176,2759541.288961796,3897234.043228316 
 01/07  07:00:00,3803810.0897446554,2706539.807654014,2687572.867507651,2710337.8551153652,3838230.789610848 
 01/07  08:00:00,3681513.49645173,2603028.589997127,2584045.2135974416,2606517.5997061334,3707586.506835255 
 01/07  09:00:00,3596996.078696211,2529119.1691232543,2510044.8863193938,2532399.2486208347,3620988.576077094 
 01/07  10:00:00,3444381.147925766,2429790.627326183,2410383.835684362,2432150.5021404955,3451721.047198509 
 01/07  11:00:00,2989069.5222388394,2134580.348505322,2116770.329094209,2135512.380710924,2872203.023742979 
 01/07  12:00:00,2306330.5232649455,1662667.1199522915,1646830.091990675,1662715.6956464034,2168990.804765961 
 01/07  13:00:00,1591440.3850143151,1270759.8122904461,1259216.31502322,1274849.6511430894,1763472.1988814867 
 01/07  14:00:00,681707.0913115877,916381.2134719184,914903.763981539,930917.7376998963,1454144.1471202387 
 01/07  15:00:00,37683.02228244065,777864.4907912193,791460.457030713,817910.0284978636,1474614.558250603 
 01/07  16:00:00,0.0,854904.6215027075,897679.8620965907,1001381.7256322568,1644155.4906023804 
 01/07  17:00:00,394398.2055428828,1084877.5931285894,1139677.09218877,1202298.630576836,1796246.7202624152 
 01/07  18:00:00,1580021.3252801239,1312757.5602607946,1317173.7324547458,1344118.8795687414,2043510.4813038707 
 01/07  19:00:00,1819886.1263378202,1439139.759792299,1440687.5669325816,1466428.6583917476,2211556.4023998515 
 01/07  20:00:00,1865089.1053649373,1418228.4247205565,1417312.1318389275,1441827.0111092087,2195570.2055810965 
 01/07  21:00:00,1933957.419041839,1439272.1783001807,1436496.0726122386,1459716.8910790242,2212788.6466535605 
 01/07  22:00:00,2055345.3087422873,1519839.3490168792,1515745.256684551,1537924.9477338563,2294539.952645868 
 01/07  23:00:00,2094219.0654362247,1525007.637580752,1519532.3547601914,1540788.9168338345,2297587.5747193084 
 01/07  24:00:00,2096050.8200803583,1493397.458456917,1486386.70026084,1506987.5007230204,2266278.6632663384 
 01/08  01:00:00,1987210.3196731256,1378240.323740914,1370001.2893896727,1389861.3202750783,2129197.11327036 
 01/08  02:00:00,1927224.365963203,1313974.104407289,1305059.4690575947,1324269.164548771,2049824.961319102 
 01/08  03:00:00,1936053.3748357682,1306470.4522273785,1296768.8429519362,1315572.8507949288,2041012.5251275096 
 01/08  04:00:00,1938492.9470312211,1296335.5811488156,1285935.4478179852,1304326.2316299675,2027942.825435928 
 01/08  05:00:00,1956667.7075460404,1298066.5141377875,1286992.5695373488,1305110.3682640865,2033285.243785479 
 01/08  06:00:00,2058872.8199157359,1366925.06942885,1354991.16887854,1373063.5256824265,2123651.5769278873 
 01/08  07:00:00,2128465.5456390716,1409492.5161225824,1396835.9168281723,1414998.236781197,2184766.562031781 
 01/08  08:00:00,2121870.5512067196,1392709.564157389,1379533.4823045472,1397666.421429537,2171203.0484455074 
 01/08  09:00:00,2167132.3530648616,1405809.5659353987,1391828.808594284,1410229.683198631,2210025.6188908108 
 01/08  10:00:00,2219277.3877298664,1434035.0540165473,1419139.8487363688,1438020.5502603585,2257429.5031357035 
 01/08  11:00:00,2080076.1725510384,1405609.2167856423,1391678.642530234,1409264.478656398,2116834.954344104 
 01/08  12:00:00,1793205.4301115493,1266354.7140124491,1253864.2846864122,1269579.375744561,1820543.364209975 
 01/08  13:00:00,1639594.9878154295,1197792.069503109,1186323.0928731854,1200686.6706651049,1665588.330523507 
 01/08  14:00:00,1406820.7853553207,1094067.3086628355,1084399.4850443702,1097978.8810482365,1521925.1571824478 
 01/08  15:00:00,1056795.519126301,970293.4888947897,964423.8360324809,979265.5639156321,1398012.5791267676 
 01/08  16:00:00,1393873.2768282709,1093838.808122691,1087105.140229031,1107395.4211381436,1601011.3791460274 
 01/08  17:00:00,1234827.950944723,1091580.3770176312,1098042.8776238854,1124991.8560435553,1664511.2486397955 
 01/08  18:00:00,1803514.2909060293,1231163.0459553376,1221518.1971234463,1237916.7260172823,1888640.2392508965 
 01/08  19:00:00,1849909.0174774353,1246000.857580714,1235592.6749808714,1251889.0178958098,1919045.5415754751 
 01/08  20:00:00,1871032.829302729,1238984.4463517938,1227763.0714933074,1244175.0700776654,1930659.6341294213 
 01/08  21:00:00,1972068.7690081722,1299279.5159230898,1287200.9034922027,1303964.060631773,2024079.7967664825 
 01/08  22:00:00,2157529.364936216,1437773.3680085407,1424928.8052376416,1442122.3944052928,2203212.7472683117 
 01/08  23:00:00,2320113.018378711,1562422.9437378724,1548990.4766331627,1566511.4259384985,2360557.9841722106 
 01/08  24:00:00,2407005.4669214827,1620108.9029137408,1606062.9289737209,1623901.1834632466,2443142.81376572 
 01/09  01:00:00,2608052.2816711413,1779864.870918273,1765242.752658592,1783517.3903757127,2639908.610693101 
 01/09  02:00:00,2922584.5243160743,2039079.392062754,2023943.477269744,2042741.6969857696,2948899.526492464 
 01/09  03:00:00,3271151.9532948565,2301638.6169921197,2285487.365544865,2305335.9096954963,3294156.523185244 
 01/09  04:00:00,3577455.216301958,2525124.027024554,2507825.274303957,2528859.8267638893,3599033.122601662 
 01/09  05:00:00,3970644.5796293756,2833476.033904148,2815229.095747215,2837379.0125951665,3990309.0495911925 
 01/09  06:00:00,4408642.9637331385,3172276.48237171,3152980.911534048,3176413.694721651,4427763.404421285 
 01/09  07:00:00,4710671.518538058,3399662.1599108907,3379373.660843547,3403931.657984254,4729979.942250722 
 01/09  08:00:00,4778762.99059137,3442656.580686861,3421728.074836016,3446869.519995852,4798036.747608498 
 01/09  09:00:00,4597522.5463279085,3277840.6381786,3256397.869418531,3281765.0355392178,4617213.900580093 
 01/09  10:00:00,4269383.287584511,3034011.5878012297,3012685.652305071,3037660.8238493716,4293544.602020383 
 01/09  11:00:00,3798304.91564069,2765123.7165179984,2745308.5093681486,2768243.7176901274,3794409.259097511 
 01/09  12:00:00,3324313.447669192,2503358.0221164324,2485467.0769237834,2505742.5685944287,3277419.191450934 
 01/09  13:00:00,2745485.0092179715,2229396.6214268515,2215314.3602869255,2234704.8395725572,2931121.9581004446 
 01/09  14:00:00,2272585.020776965,2022155.6571520984,2012081.4845733622,2030907.3513015273,2698540.026164933 
 01/09  15:00:00,2141472.685594553,2065148.8366214829,2058091.0077972186,2081509.3642995944,2915662.4954026155 
 01/09  16:00:00,3499983.8694635485,2428691.1229625084,2410463.4329013177,2434978.2345159966,3619190.123330418 
 01/09  17:00:00,2385903.265676203,2356037.145045431,2382682.415547159,2437179.109437222,3433770.392087197 
 01/09  18:00:00,3687812.5145807047,2713234.169744195,2700087.003862251,2725179.7459169663,3843245.275920515 
 01/09  19:00:00,3932445.326640484,2882570.500524776,2868191.002173138,2893323.5817683972,4060573.261814645 
 01/09  20:00:00,4080356.9282316263,2973584.9516049945,2957907.8149879035,2983273.0004535825,4189277.9870860297 
 01/09  21:00:00,4230083.622408615,3070513.372394695,3053697.748849448,3079309.950206384,4322883.040403188 
 01/09  22:00:00,4274339.207707949,3093193.764363526,3075503.558140782,3101190.944313924,4354057.918308884 
 01/09  23:00:00,4206913.3997346405,3021713.4169886224,3003406.501448667,3028894.5176903666,4275627.399291448 
 01/09  24:00:00,4245848.702020775,3031388.9105563993,3012291.877859219,3037946.149260107,4306211.326320175 
 01/10  01:00:00,4275310.255099077,3037603.883577902,3017837.3189170635,3043671.5788617386,4329912.911250965 
 01/10  02:00:00,4301416.389841337,3043969.3561917255,3023594.661333177,3049605.1960941628,4350634.252530301 
 01/10  03:00:00,4308509.40043172,3040755.8248259234,3019886.1001079227,3046010.064852438,4352095.193949377 
 01/10  04:00:00,4313063.930662857,3029991.9443445555,3008628.918522995,3034907.823707504,4352071.129394256 
 01/10  05:00:00,4391315.598106601,3081022.2493334063,3059087.7239568736,3085718.14291814,4426841.154070444 
 01/10  06:00:00,4600763.786834836,3246781.024212304,3224340.565040925,3251419.929541471,4632594.229881268 
 01/10  07:00:00,4870005.639524851,3454136.6187004023,3431050.0238737217,3458813.3060762645,4899757.139790463 
 01/10  08:00:00,4759096.134917186,3355700.8330001067,3332227.9542617532,3360111.185063444,4788754.304284232 
 01/10  09:00:00,4815199.314517325,3380381.4530421887,3356342.2779982258,3384715.0989294024,4847438.542802202 
 01/10  10:00:00,5083098.942384507,3626990.609882074,3602233.8250464364,3631223.346838831,5105712.821799388 
 01/10  11:00:00,4734492.896575859,3508728.6604000954,3486091.540766823,3512129.5779585773,4672952.445410633 
 01/10  12:00:00,4076514.1445701066,3115943.8621123703,3095822.167710827,3118550.4224631614,3984163.612938925 
 01/10  13:00:00,3116168.3967375606,2553323.56642465,2537906.5215879176,2559313.1974643366,3310909.319736941 
 01/10  14:00:00,1930609.6843200421,2031547.687980016,2026145.552960252,2048002.130755392,2809260.107662389 
 01/10  15:00:00,1421941.0854196534,2160877.2893800302,2169061.0972379027,2201653.5923161996,3158976.300286125 
 01/10  16:00:00,2023773.9347833146,2513123.794840652,2527131.3315630006,2605847.673475012,3539212.753749502 
 01/10  17:00:00,2687413.3857748886,2506316.542806019,2521381.919899712,2567181.3267283635,3502904.379370059 
 01/10  18:00:00,3229733.2702716724,2465301.225396987,2456724.6457631756,2485021.6023988123,3536691.254926772 
 01/10  19:00:00,3282668.239822907,2447520.85152973,2437103.7649008557,2464584.5048206705,3538593.8489966174 
 01/10  20:00:00,3387203.4153777095,2485915.117322378,2473857.3681150293,2500872.5407622512,3603577.2311293576 
 01/10  21:00:00,3456960.614343617,2506775.8123047305,2493412.803686313,2520019.3757685963,3641435.5243266025 
 01/10  22:00:00,3525336.0646565417,2528968.402459814,2514328.2124590436,2540623.8907934986,3681777.6130755236 
 01/10  23:00:00,3587842.2351026353,2552237.1669800277,2536505.589939281,2562621.4959888775,3721878.37538235 
 01/10  24:00:00,3598493.016487739,2546140.7088423586,2529579.20020667,2555382.3040013816,3713551.1268767137 
 01/11  01:00:00,3822904.746538655,2707390.0226793024,2689779.4909740984,2715788.0316835726,3923947.9065348236 
 01/11  02:00:00,3964017.58712042,2796242.456806823,2777574.904778435,2803932.4408459254,4052394.755638331 
