Date/Time,BATIMENT0000000240879681_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879681_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/11  17:00:00,6113528.515282249,6368498.567202983 
 01/11  18:00:00,6853072.536210279,7519336.5361010535 
 01/11  19:00:00,7836167.7859131135,8601121.923823753 
 01/11  20:00:00,8889727.602304073,9762961.984045547 
 01/11  21:00:00,9463437.011804488,10396362.273278464 
 01/11  22:00:00,9583023.962615216,10530572.187294777 
 01/11  23:00:00,9776036.415454887,10745492.73527028 
 01/11  24:00:00,9978344.840179516,10965047.981895816 
 01/12  01:00:00,10394230.866224546,11421402.730517672 
 01/12  02:00:00,10829162.289461933,11901001.273949584 
 01/12  03:00:00,11302533.338776473,12430039.026056366 
 01/12  04:00:00,11405429.55974968,12542689.257543076 
 01/12  05:00:00,10884946.150832368,11967908.10190761 
 01/12  06:00:00,10486959.080012497,11528973.563112322 
 01/12  07:00:00,10959107.89171565,12051016.335478146 
 01/12  08:00:00,11234044.331990246,12354898.930852747 
 01/12  09:00:00,10582435.516685942,11636749.506196376 
 01/12  10:00:00,9831145.271992885,10831494.269884456 
 01/12  11:00:00,9066012.394365527,10011691.567217246 
 01/12  12:00:00,7442309.259402075,8266777.866715588 
 01/12  13:00:00,6059767.985069958,6734626.233924528 
 01/12  14:00:00,5350566.554864616,5893316.164714927 
 01/12  15:00:00,5180530.7072357945,5655785.898412869 
 01/12  16:00:00,5023969.504515787,5243142.377249493 
 01/12  17:00:00,5412099.522575071,5500542.596376386 
 01/12  18:00:00,6221003.914970102,6811177.336587959 
 01/12  19:00:00,6604550.757648028,7241772.3941629855 
 01/12  20:00:00,6850425.758322677,7518967.1671234155 
 01/12  21:00:00,7039896.011614221,7732744.962504919 
 01/12  22:00:00,7268975.146083391,7978878.0066572465 
 01/12  23:00:00,7448505.078664652,8174639.803424582 
 01/12  24:00:00,7592757.955084702,8335315.385550277 
 01/13  01:00:00,7655871.6821073415,8406718.253617488 
 01/13  02:00:00,7695017.371373375,8451657.985187998 
 01/13  03:00:00,7696172.292132165,8454578.877984166 
 01/13  04:00:00,7620436.256009889,8372980.288423052 
 01/13  05:00:00,7527677.209730821,8272288.75776603 
 01/13  06:00:00,7770714.775442604,8543304.137482278 
 01/13  07:00:00,7823522.4433333315,8606085.483030435 
 01/13  08:00:00,7434825.55941362,8183085.365992416 
 01/13  09:00:00,7259653.804653303,7991960.324755875 
 01/13  10:00:00,7131033.012194184,7853945.893948691 
 01/13  11:00:00,6827542.115114413,7527540.915135421 
 01/13  12:00:00,6288002.733456211,6956811.3652782375 
 01/13  13:00:00,4859195.575838049,5380277.367324868 
 01/13  14:00:00,3427346.3744385634,3404100.5817074883 
 01/13  15:00:00,3753114.4017273374,3301841.8270259774 
 01/13  16:00:00,3834282.97607334,2718798.599426857 
 01/13  17:00:00,4290217.1463708645,3501474.948668389 
 01/13  18:00:00,6107506.613091465,6503502.3790435605 
 01/13  19:00:00,7089949.009759234,7626627.027279885 
 01/13  20:00:00,7041075.648189405,7613292.675501491 
 01/13  21:00:00,7441120.564232608,8081477.406037591 
 01/13  22:00:00,8237708.981286842,8979889.524078254 
 01/13  23:00:00,8514072.28796779,9292731.771353785 
 01/13  24:00:00,8515411.518295243,9306949.401812362 
 01/14  01:00:00,8674242.692862764,9494357.986977685 
 01/14  02:00:00,8715850.551955104,9549417.629482841 
 01/14  03:00:00,8807634.970465556,9658539.008169036 
 01/14  04:00:00,8633883.600812986,9471724.736161903 
 01/14  05:00:00,8581492.986554649,9426986.819488231 
 01/14  06:00:00,8998076.046060268,9887927.689825607 
 01/14  07:00:00,9225250.304173814,10130931.368102117 
 01/14  08:00:00,9301394.716970861,10223193.137073848 
 01/14  09:00:00,9456981.936078912,10410613.140921507 
 01/14  10:00:00,9354875.931553852,10308091.761455491 
 01/14  11:00:00,8459997.393616876,9361301.943751905 
 01/14  12:00:00,7050146.761551944,7889946.0241666995 
 01/14  13:00:00,5322243.136621688,5963197.379261293 
 01/14  14:00:00,4290714.763734255,4467273.278087503 
 01/14  15:00:00,4109706.987487661,3957710.220459439 
 01/14  16:00:00,4466096.803851866,4369562.899238145 
 01/14  17:00:00,5057533.795553033,5280517.858494235 
 01/14  18:00:00,5628260.276048276,6119550.543765995 
 01/14  19:00:00,5806252.002285114,6329279.466458869 
 01/14  20:00:00,5946124.52584247,6493513.018513462 
 01/14  21:00:00,6120425.521976216,6694746.679916832 
 01/14  22:00:00,6210713.861777916,6803374.959712025 
 01/14  23:00:00,6249129.973190095,6851218.553596561 
 01/14  24:00:00,6119417.4470898155,6712713.2387753595 
 01/15  01:00:00,5990908.876090139,6574991.13543888 
 01/15  02:00:00,6006543.7745771725,6595120.299840988 
 01/15  03:00:00,6040740.047790714,6635110.709927328 
 01/15  04:00:00,6058570.485833474,6656938.452466864 
 01/15  05:00:00,6085563.617089881,6687530.213199676 
 01/15  06:00:00,6190320.660788292,6803674.186696929 
 01/15  07:00:00,6346778.520861557,6976698.929102271 
 01/15  08:00:00,6401542.768400049,7038076.05942912 
 01/15  09:00:00,6307307.969151343,6935056.324214991 
 01/15  10:00:00,6807931.326234938,7481565.880435175 
 01/15  11:00:00,8110562.134951482,8911946.691682883 
 01/15  12:00:00,8635853.267397061,9489823.615460826 
 01/15  13:00:00,8243962.97441164,9060925.61404228 
 01/15  14:00:00,7397156.6057340475,8115110.623153551 
 01/15  15:00:00,6834442.895529578,7071778.061384508 
 01/15  16:00:00,6737365.158299208,6028540.437026839 
 01/15  17:00:00,7555558.031507075,6988265.976386655 
 01/15  18:00:00,9036255.120373296,9793422.142963346 
 01/15  19:00:00,9315414.217306167,10132260.221783817 
 01/15  20:00:00,9347162.428641777,10193555.148685768 
 01/15  21:00:00,9824037.638897218,10738424.765087176 
 01/15  22:00:00,10356309.711905837,11340579.605608279 
 01/15  23:00:00,10741249.580531137,11778030.041996986 
 01/15  24:00:00,11105574.865205066,12190943.045099882 
 01/16  01:00:00,11347272.081136975,12466561.34991051 
 01/16  02:00:00,11366378.942487344,12494020.934739472 
 01/16  03:00:00,11274053.452753415,12396231.348913094 
 01/16  04:00:00,11283961.269211233,12408635.926405676 
 01/16  05:00:00,10964582.528804852,12057088.787579969 
 01/16  06:00:00,10415167.840864094,11454140.158752944 
 01/16  07:00:00,9935271.051217591,10928627.718849855 
 01/16  08:00:00,9572828.99365067,10533216.235660579 
 01/16  09:00:00,9441598.010475047,10391044.459417654 
 01/16  10:00:00,9599644.104734102,10568234.775929637 
 01/16  11:00:00,9196840.54670146,10177451.038908027 
 01/16  12:00:00,7595625.317097461,8557314.153610727 
 01/16  13:00:00,6317231.470475349,7042110.418064499 
 01/16  14:00:00,5512146.266898849,5809203.565958682 
 01/16  15:00:00,5176871.06755132,4998823.832734123 
 01/16  16:00:00,5724202.241220934,5175030.987968816 
 01/16  17:00:00,6756464.37374018,6289217.6820568275 
 01/16  18:00:00,7874657.179878309,8512535.493040036 
 01/16  19:00:00,8486265.944653962,9214326.738024004 
 01/16  20:00:00,9155093.952915868,9971261.709162593 
 01/16  21:00:00,9739843.216518182,10632847.394286128 
 01/16  22:00:00,9968734.568851685,10899875.296760112 
 01/16  23:00:00,10144685.989506148,11104883.082124991 
 01/16  24:00:00,10717015.006151397,11744862.860953681 
 01/17  01:00:00,11256132.256264672,12345367.93831827 
 01/17  02:00:00,11072494.245489443,12161494.400871811 
 01/17  03:00:00,10855166.013542246,11938632.582130633 
 01/17  04:00:00,10945311.47481586,12042361.611009419 
 01/17  05:00:00,10685820.867885133,11762742.518762715 
 01/17  06:00:00,10322341.35534421,11366729.390853453 
 01/17  07:00:00,10134851.59762077,11162779.7651962 
 01/17  08:00:00,10024072.96729576,11042146.364221165 
 01/17  09:00:00,10203669.727940805,11239937.359078895 
 01/17  10:00:00,10502461.13621165,11570247.959609782 
 01/17  11:00:00,10160975.815344166,11203419.730243094 
 01/17  12:00:00,9290675.65734623,10264620.70244992 
 01/17  13:00:00,8066099.1743958,8905802.329891188 
 01/17  14:00:00,6728595.905896618,7172431.830015417 
 01/17  15:00:00,6274418.433308865,6123146.056139849 
 01/17  16:00:00,5820242.967413767,4464190.972227813 
 01/17  17:00:00,6653976.740386613,5944141.116629015 
 01/17  18:00:00,7994230.966174556,8577849.95742279 
 01/17  19:00:00,8695365.39156719,9404685.64279079 
 01/17  20:00:00,8918596.580254393,9675221.636449687 
 01/17  21:00:00,9142017.457202964,9940042.926969549 
 01/17  22:00:00,9485439.002446821,10340379.187107941 
 01/17  23:00:00,9813382.75715538,10716593.46454027 
 01/17  24:00:00,10068217.744825153,11009071.596912036 
 01/18  01:00:00,10196011.721720343,11183046.526835665 
 01/18  02:00:00,10465580.671185154,11493186.147622054 
 01/18  03:00:00,10570774.363077495,11617812.981150944 
 01/18  04:00:00,10681090.326966915,11746268.96805146 
 01/18  05:00:00,10923743.44716902,12018596.37219256 
 01/18  06:00:00,11136504.089914488,12255297.227824096 
 01/18  07:00:00,11258358.457322514,12374814.737339398 
 01/18  08:00:00,11255729.19064781,12372115.328294907 
 01/18  09:00:00,11229781.648656286,12336090.502441697 
 01/18  10:00:00,10904639.574826233,11977481.861148667 
 01/18  11:00:00,10554219.29858944,11597447.74704052 
 01/18  12:00:00,11345490.962590398,12471917.059921337 
 01/18  13:00:00,11978119.534161674,13169778.61970684 
 01/18  14:00:00,12174591.787152972,13386888.09444334 
 01/18  15:00:00,11532246.563235423,12672161.348539606 
 01/18  16:00:00,10615994.883194141,11600254.275753774 
 01/18  17:00:00,10887381.288637627,11844446.672102187 
 01/18  18:00:00,11482628.829933966,12615828.568456355 
 01/18  19:00:00,12056355.65615028,13249551.924496926 
 01/18  20:00:00,12650433.080668287,13904401.031594258 
 01/18  21:00:00,13373586.59545666,14699807.16487396 
 01/18  22:00:00,13927473.973903168,15310107.615671242 
 01/18  23:00:00,14084899.434616731,15485380.233813504 
 01/18  24:00:00,13648606.582576476,15006185.491103433 
 01/19  01:00:00,13362086.509006478,14692014.460549809 
 01/19  02:00:00,13833612.211888483,15211086.525815278 
 01/19  03:00:00,14200099.826329537,15614476.42278105 
 01/19  04:00:00,14250679.678831713,15672771.73196464 
 01/19  05:00:00,14561744.66933926,16020092.303166036 
 01/19  06:00:00,14870059.090443788,16382489.616083277 
 01/19  07:00:00,14953986.678684901,16474530.942736678 
 01/19  08:00:00,14551539.878613915,16029259.035848534 
 01/19  09:00:00,13974445.178848796,15381998.95652857 
 01/19  10:00:00,13193545.0047266,14519354.042172283 
 01/19  11:00:00,12078655.478562953,13311736.889947146 
 01/19  12:00:00,11072339.948774057,12262581.699324025 
 01/19  13:00:00,10405729.657534378,11479233.752302477 
 01/19  14:00:00,9206537.809857944,9756854.382554881 
 01/19  15:00:00,9064989.33621397,8937611.152742136 
 01/19  16:00:00,9209108.233059043,8546841.874405375 
 01/19  17:00:00,10050809.02616903,9898267.982561663 
 01/19  18:00:00,11085656.937503839,12052706.849148624 
 01/19  19:00:00,11499767.326170564,12534862.459462523 
 01/19  20:00:00,12463075.780633207,13630311.968026496 
 01/19  21:00:00,13265100.618364722,14532600.358798165 
 01/19  22:00:00,13717127.048199717,15034862.912546314 
 01/19  23:00:00,14618121.42721259,16021914.79023557 
 01/19  24:00:00,14946506.73369327,16394558.78157445 
 01/20  01:00:00,14723111.384443663,16158229.402762588 
 01/20  02:00:00,14706791.735319864,16146278.371141173 
 01/20  03:00:00,14653911.268835789,16093818.979596538 
 01/20  04:00:00,14453004.423601607,15877833.614035357 
 01/20  05:00:00,13986705.508964702,15368407.896006541 
 01/20  06:00:00,13711055.61313429,15069127.917457636 
 01/20  07:00:00,13866420.574632358,15243378.020568406 
 01/20  08:00:00,14310543.717059227,15734690.923044797 
 01/20  09:00:00,14670260.28134606,16132868.42046709 
 01/20  10:00:00,14014163.694456602,15509262.018997904 
 01/20  11:00:00,11667289.981829675,13345371.833458025 
 01/20  12:00:00,9609465.672943488,11124173.62129294 
 01/20  13:00:00,8025478.940267563,9101727.36833055 
 01/20  14:00:00,8258346.065081032,8519444.357436981 
 01/20  15:00:00,8209049.387243811,7229728.041685034 
 01/20  16:00:00,9235206.22754834,8166773.44502121 
 01/20  17:00:00,10397452.372908928,10229878.319202296 
 01/20  18:00:00,11637417.315942945,12579212.610859489 
 01/20  19:00:00,12438178.727843603,13502381.620895505 
 01/20  20:00:00,12956787.593112715,14106504.731796464 
 01/20  21:00:00,13413954.184514862,14637150.49603428 
 01/20  22:00:00,13511809.316936716,14767758.585561782 
 01/20  23:00:00,13257804.3632473,14508140.719860263 
 01/20  24:00:00,13184693.118034696,14442301.336239886 
 01/21  01:00:00,13350679.786977625,14634933.12836881 
 01/21  02:00:00,13231803.076795932,14514793.310683798 
 01/21  03:00:00,13042695.696613077,14316182.323116813 
 01/21  04:00:00,13191888.544575619,14486616.942015374 
 01/21  05:00:00,13306334.196006894,14617173.799548863 
 01/21  06:00:00,13043760.778548585,14331096.351742119 
