file,line,task_id,title,completed_date,verdict,file_level_detail,symbol_level_detail,pending_note,corrected_verdict,correction_note
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,562,N01,Forward-trace every candidate defect to its final recorded status (OPEN-29),2026-08-06,NEVER-COMMITTED,"openubem/outputs/comparisons/open29_defect_status_trace.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open29_defect_status_trace.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,598,N05,Is a 3-building local re-run archetype-faithful to the fleet? (OPEN-34),2026-08-06,NEVER-COMMITTED,"openubem/outputs/comparisons/open34_subset_vs_fullcell.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open34_subset_vs_fullcell.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,642,N04,"Where the 41 mislabelled buildings come from, and whether the 6 are still the 6 (OPEN-06, 07, 11)",2026-08-06,NEVER-COMMITTED,"openubem/outputs/comparisons/open06_mislabel_population.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open06_mislabel_population.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,489,M02,`.eio` disk budget for a five-mode fleet pass (OPEN-02),2026-08-05,NEVER-COMMITTED,"openubem/outputs/comparisons/open02_eio_inventory.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open02_eio_inventory.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,541,M01,Per-archetype denominator error factor (OPEN-01),2026-08-05,NEVER-COMMITTED,"openubem/outputs/comparisons/open01_denominator_factors.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open01_denominator_factors.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,575,M05,T08 vs T20 harvest-generation join (OPEN-28),2026-08-05,NEVER-COMMITTED,"openubem/outputs/comparisons/open28_t08_t20_join.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open28_t08_t20_join.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,625,M03,"Is the loads/envelope vintage split deliberate, and how big is it? (OPEN-03)",2026-08-05,NEVER-COMMITTED,"openubem/outputs/comparisons/open03_load_vintage_ratios.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open03_load_vintage_ratios.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,673,M04,Bisect the classifier accuracy drift (OPEN-04),2026-08-05,NEVER-COMMITTED,"openubem/outputs/comparisons/open04_accuracy_by_commit.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open04_accuracy_by_commit.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,736,E01,Per-building output trimming for the local fleet runner,2026-08-05,NEVER-COMMITTED,scripts/cluster/t08_local_remainder.py=PRESENT(in `git ls-files` at HEAD),"RETAIN_FILENAMES@scripts/cluster/t08_local_remainder.py=NEVER-COMMITTED(git log --all -S""RETAIN_FILENAMES"" -- ""scripts/cluster/t08_local_remainder.py"")",,PRESENT,"CORRECTED FROM NEVER-COMMITTED (symbol-attribution heuristic error): symbol RETAIN_FILENAMES only found in an UNCOMMITTED working-tree edit to scripts/cluster/t08_local_remainder.py (file itself PRESENT at HEAD; git show HEAD: predates this local edit) -- same 'pending external commit' pattern as the CSV outputs, not a governance gap"
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,789,E01b,"Correction round on E01 (F1 submission throttling, F2 retained-bytes accounting)",2026-08-05,PRESENT,scripts/cluster/t08_local_remainder.py=PRESENT(in `git ls-files` at HEAD),run_simulations@scripts/cluster/t08_local_remainder.py=PRESENT(found in HEAD content of scripts/cluster/t08_local_remainder.py),,PRESENT,
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,877,M06,"Does any *adopted* result depend on `layout_assign`? (OPEN-32, OPEN-01 item 3)",2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,907,M06b,OPEN-33 opened and the published documentation repaired,2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,938,E01c,`building`-mode verification at HEAD,2026-08-06,PRESENT,scripts/cluster/t08_full_sweep.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,111,T01,Fix the dominant-tag threshold (E-IF-1),2026-07-21,PRESENT,openubem/semantic/building_classifier.py=PRESENT(in `git ls-files` at HEAD),_normalise_use_class@openubem/semantic/building_classifier.py=PRESENT(found in HEAD content of openubem/semantic/building_classifier.py) || _apply_rule_table@openubem/semantic/building_classifier.py=PRESENT(found in HEAD content of openubem/semantic/building_classifier.py) || classify_building@openubem/semantic/building_classifier.py=PRESENT(found in HEAD content of openubem/semantic/building_classifier.py),,PRESENT,
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,117,T02,"Add 22 missing OSM tags to `osm_to_use_class.json` (F4, F6)",2026-07-21,PRESENT,openubem/data/osm_to_use_class.json=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,123,T03,Tests for T01 (threshold fix),2026-07-21,PRESENT,tests/test_building_classifier.py=PRESENT(in `git ls-files` at HEAD),test_rule_16_no_dominant@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py),,PRESENT,
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,129,T04,Tests for T02 (tag additions),2026-07-21,NEVER-COMMITTED,tests/test_building_classifier.py=PRESENT(in `git ls-files` at HEAD) || openubem/data/osm_to_use_class.json=PRESENT(in `git ls-files` at HEAD) || tests/fixtures/chicago_loop_500m.gpkg=PRESENT(in `git ls-files` at HEAD),"test_i01_new_tag_spot_checks@tests/test_building_classifier.py=NEVER-COMMITTED(git log --all -S""test_i01_new_tag_spot_checks"" -- ""tests/test_building_classifier.py"") || test_service_not_remapped_to_commercial@tests/test_building_classifier.py=NEVER-COMMITTED(git log --all -S""test_service_not_remapped_to_commercial"" -- ""tests/test_building_classifier.py"") || TestUseClassMapping@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py)",,PRESENT,"CORRECTED FROM NEVER-COMMITTED (symbol-attribution heuristic error): flagged test names (test_i01_new_tag_spot_checks, test_service_not_remapped_to_commercial) found via repo-wide -S at commit ef19141 -- MOVED/renamed since, not never-committed; file-level PRESENT"
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,137,T05,OQ-7 labelled-accuracy gate re-measurement,2026-07-21,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,143,T06,Full suite + results-doc addendum,2026-07-21,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,394,T01,Office size-tier helper + rules 12/17a (E-R3-3),2026-06-30,PRESENT,openubem/semantic/building_classifier.py=PRESENT(in `git ls-files` at HEAD),_office_size_tier@openubem/semantic/building_classifier.py=PRESENT(found in HEAD content of openubem/semantic/building_classifier.py),,PRESENT,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,400,T02,Hotel tier threshold ≥5 (rules 3a/3b),2026-06-30,PRESENT,openubem/semantic/building_classifier.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,406,T03,"School tier level-count rule, Option B (rules 6b/6c)",2026-06-30,PRESENT,openubem/semantic/building_classifier.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,412,T04,Update `default_size_signature` display strings (cosmetic),2026-06-30,PRESENT,openubem/data/openstudio_archetypes.json=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,418,T05,Resize synthetic coverage fixture rows (F8),2026-06-30,PRESENT,tests/test_building_classifier.py=PRESENT(in `git ls-files` at HEAD),synthetic_30_gdf@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py),,PRESENT,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,424,T06,Update existing unit/boundary assertions to new thresholds,2026-06-30,PRESENT,tests/test_building_classifier.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,434,T07,DOE-prototype self-classification regression tests,2026-06-30,PRESENT,tests/test_building_classifier.py=PRESENT(in `git ls-files` at HEAD) || tests/fixtures/labelled_archetypes_50.csv=PRESENT(in `git ls-files` at HEAD),TestDoePrototypeSelfClassification@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py) || _row@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py) || classify_building@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py) || MediumOfficeDetailed@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py) || SmallOfficeDetailed@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py),,PRESENT,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,448,T09,Record erratum + checklist + progress log,2026-06-30,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,454,T12,School-levels missing-default regression lock (D3 blind-spot closure),2026-07-01,PRESENT,tests/test_building_classifier.py=PRESENT(in `git ls-files` at HEAD),_LEVELS_CONSUMING@tests/test_building_classifier.py=PRESENT(found in HEAD content of tests/test_building_classifier.py),,PRESENT,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,460,T10,CP-β Boston 483 fleet re-sim + CP-2 report,2026-07-01,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,512,T11.6b,Manager move-away diagnosis + classifier-vs-drift decomposition,2026-07-03,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,148,T01,Fix `decide_zoning_strategy` routing,2026-06-17,PRESENT,openubem/geometry/zoning.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,154,T02,Update `tests/test_zoning.py`,2026-06-17,PRESENT,tests/test_zoning.py=PRESENT(in `git ls-files` at HEAD) || tests/test_idf_builder.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,160,T03,Multi-floor EUI regression test (bug-catch) + suite,2026-06-17,PRESENT,tests/test_results_parser.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,166,T04,Regenerate IDFs for the pilot cell (subset variant),2026-06-17,PRESENT,scripts/diagnostics/pilot_zoning_fix.py=PRESENT(in `git ls-files` at HEAD) || scripts/diagnostics/pilot_complete_run.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,172,T05,Resimulate the pilot cell (subset variant),2026-06-17,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,178,T06,Pilot before/after comparison + REPORT_pilot_resim.md,2026-06-17,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,914,T01,Canonical imputation provenance schema,2026-07-01,PRESENT,openubem/semantic/provenance.py=PRESENT(in `git ls-files` at HEAD) || tests/test_provenance.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,931,T02,Close the HVAC Tier-B provenance gap (`idf/hvac.py`),2026-07-01,PRESENT,openubem/idf/hvac.py=PRESENT(in `git ls-files` at HEAD) || tests/test_tierB_provenance.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,956,T03,"Close the DHW/cooking Tier-B gap (`idf/dhw.py`, `idf/cooking.py`)",2026-07-01,NEVER-COMMITTED,openubem/idf/dhw.py=PRESENT(in `git ls-files` at HEAD) || openubem/idf/cooking.py=PRESENT(in `git ls-files` at HEAD) || tests/test_tierB_provenance.py=PRESENT(in `git ls-files` at HEAD) || openubem/idf/hvac.py=PRESENT(in `git ls-files` at HEAD) || openubem/idf/refrigeration.py=PRESENT(in `git ls-files` at HEAD),"_emit_ptac@openubem/idf/refrigeration.py=NEVER-COMMITTED(git log --all -S""_emit_ptac"" -- ""openubem/idf/refrigeration.py"") || TestPTACGasHeatingEfficiencyProvenance@tests/test_tierB_provenance.py=PRESENT(found in HEAD content of tests/test_tierB_provenance.py)",,PRESENT,CORRECTED FROM NEVER-COMMITTED (symbol-attribution heuristic error): _emit_ptac exists at HEAD in openubem/idf/hvac.py -- automated heuristic mis-paired it with the neighbouring refrigeration.py mention; file-level PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1031,T06,Spatial neighbour-fill utility + MNAR density filter,2026-07-01,PRESENT,openubem/semantic/spatial_impute.py=PRESENT(in `git ls-files` at HEAD) || tests/test_spatial_impute.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1120,T05,group-wise stratified `levels`,2026-07-01,PRESENT,openubem/semantic/building_classifier.py=PRESENT(in `git ls-files` at HEAD) || tests/test_levels_groupwise.py=PRESENT(in `git ls-files` at HEAD),_impute_levels@openubem/semantic/building_classifier.py=PRESENT(found in HEAD content of openubem/semantic/building_classifier.py),,PRESENT,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1197,T04,donor/neighbour vintage,2026-07-01,PRESENT,openubem/semantic/construction_sets.py=PRESENT(in `git ls-files` at HEAD) || openubem/semantic/__init__.py=PRESENT(in `git ls-files` at HEAD) || tests/test_construction_sets.py=PRESENT(in `git ls-files` at HEAD) || tests/test_vintage_donor.py=PRESENT(in `git ls-files` at HEAD) || tests/test_building_classifier.py=PRESENT(in `git ls-files` at HEAD) || tests/test_eui_impact.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1307,T07,Imputation routing subsystem + strict mode,2026-07-02,PRESENT,openubem/semantic/imputation.py=PRESENT(in `git ls-files` at HEAD) || openubem/config.py=PRESENT(in `git ls-files` at HEAD) || tests/test_imputation_routing.py=PRESENT(in `git ls-files` at HEAD) || openubem/semantic/provenance.py=PRESENT(in `git ls-files` at HEAD) || openubem/semantic/__init__.py=PRESENT(in `git ls-files` at HEAD),ImputeConfig@openubem/semantic/imputation.py=PRESENT(found in HEAD content of openubem/semantic/imputation.py) || StrictImputationError@openubem/semantic/imputation.py=PRESENT(found in HEAD content of openubem/semantic/imputation.py),,PRESENT,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1412,T07.1,Lineage summary side-manifest + legacy-token reweight,2026-07-02,PRESENT,openubem/semantic/provenance.py=PRESENT(in `git ls-files` at HEAD) || openubem/semantic/__init__.py=PRESENT(in `git ls-files` at HEAD) || tests/test_provenance.py=PRESENT(in `git ls-files` at HEAD),LEGACY_TOKEN_WEIGHT@openubem/semantic/provenance.py=PRESENT(found in HEAD content of openubem/semantic/provenance.py) || enrich_semantics@openubem/semantic/__init__.py=PRESENT(found in HEAD content of openubem/semantic/__init__.py) || test_counts_and_confidence@tests/test_provenance.py=PRESENT(found in HEAD content of tests/test_provenance.py),,PRESENT,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1464,T08,Mask-and-recover + spatial-block hold-out harness,2026-07-02,PRESENT,openubem/validation/__init__.py=PRESENT(in `git ls-files` at HEAD) || openubem/validation/mask_recover.py=PRESENT(in `git ls-files` at HEAD) || tests/test_mask_recover.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1518,T07.2,Categorical routing in impute_missing (use_class),2026-07-02,NEVER-COMMITTED,openubem/semantic/imputation.py=PRESENT(in `git ls-files` at HEAD) || tests/test_imputation_routing.py=PRESENT(in `git ls-files` at HEAD) || tests/test_mask_recover.py=PRESENT(in `git ls-files` at HEAD) || openubem/validation/eui_impact.py=PRESENT(in `git ls-files` at HEAD) || tests/test_eui_impact.py=PRESENT(in `git ls-files` at HEAD) || openubem/validation/mask_recover.py=PRESENT(in `git ls-files` at HEAD) || openubem/semantic/fusion.py=PRESENT(in `git ls-files` at HEAD) || openubem/acquisition/overture_fetcher.py=PRESENT(in `git ls-files` at HEAD) || openubem/config.py=PRESENT(in `git ls-files` at HEAD) || tests/test_fusion.py=PRESENT(in `git ls-files` at HEAD) || tests/test_fusion_license_guard.py=PRESENT(in `git ls-files` at HEAD) || openubem/data/fixtures/fusion/LICENSES.md=PRESENT(in `git ls-files` at HEAD) || openubem/data/fixtures/fusion/overture_nyc_centre_slice.parquet=PRESENT(in `git ls-files` at HEAD) || openubem/data/osm_to_use_class.json=PRESENT(in `git ls-files` at HEAD),"_spatial_tier@openubem/semantic/imputation.py=PRESENT(found in HEAD content of openubem/semantic/imputation.py) || _statistical_tier@openubem/semantic/imputation.py=PRESENT(found in HEAD content of openubem/semantic/imputation.py) || IMPUTE_ENABLED_TIERS@tests/test_fusion_license_guard.py=NEVER-COMMITTED(git log --all -S""IMPUTE_ENABLED_TIERS"" -- ""tests/test_fusion_license_guard.py"") || _fusion_tier@tests/test_fusion.py=PRESENT(found in HEAD content of tests/test_fusion.py) || test_default_impute_missing_calls_fusion_tier_as_byte_identical_noop@tests/test_fusion.py=PRESENT(found in HEAD content of tests/test_fusion.py) || MLImputer@openubem/semantic/imputation.py=PRESENT(found in HEAD content of openubem/semantic/imputation.py) || _clamp_to_observed_range@openubem/semantic/imputation.py=NEVER-COMMITTED(git log --all -S""_clamp_to_observed_range"" -- ""openubem/semantic/imputation.py"")",,PRESENT,CORRECTED FROM NEVER-COMMITTED (symbol-attribution heuristic error): IMPUTE_ENABLED_TIERS and _clamp_to_observed_range both exist at HEAD (config.py / impute_scatter.py resp.) -- mis-paired by heuristic with a neighbouring file mention; file-level PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1944,Manager,Phase-E figures added (results symmetry) + REPORT filed to `docs_Done/`,2026-07-15,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1950,Manager,"draw-tier illustration figures + ""1951-mode / not-an-error"" explanation recorded",2026-07-17,PRESENT,openubem/results/impute_scatter.py=PRESENT(in `git ls-files` at HEAD),_pooled_draw_pairs@openubem/results/impute_scatter.py=PRESENT(found in HEAD content of openubem/results/impute_scatter.py),,PRESENT,
docs/docs_DONE/INPUTS/imputation/debugs/PLAN_phaseC_knn_repro_investigation.md,88,D01,Independently confirm the discrepancy,2026-07-15,PRESENT,openubem/config.py=PRESENT(in `git ls-files` at HEAD) || openubem/semantic/imputation.py=PRESENT(in `git ls-files` at HEAD) || openubem/validation/mask_recover.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/debugs/PLAN_phaseC_knn_repro_investigation.md,117,D02,Reconstruct the documented 2026-07-03 knn configuration vs current code,2026-07-15,PRESENT,openubem/semantic/imputation.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/debugs/PLAN_phaseC_knn_repro_investigation.md,141,D03,Bisect the cause across the non-`imputation.py` surface,2026-07-15,PRESENT,openubem/semantic/spatial_impute.py=PRESENT(in `git ls-files` at HEAD) || openubem/semantic/imputation.py=PRESENT(in `git ls-files` at HEAD) || openubem/config.py=PRESENT(in `git ls-files` at HEAD) || openubem/results/impute_scatter.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/debugs/PLAN_phaseC_knn_repro_investigation.md,211,D04,Classified verdict + recommendation,2026-07-15,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,382,T01,Script scaffold + shared style + DATA block + tests,2026-07-15,PRESENT,openubem/results/impute_figures.py=PRESENT(in `git ls-files` at HEAD) || tests/test_impute_figures.py=PRESENT(in `git ls-files` at HEAD),,,PRESENT,
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,411,T02,`phaseA_quant_provenance.png`,2026-07-15,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,437,T03,`phaseB_quant_accuracy.png`,2026-07-15,UNCHECKABLE,,,,UNCHECKABLE,
