record_file,line,task,claimed_artifact,exists_at_head,ever_in_git,verdict
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,394,T01,openubem/semantic/building_classifier.py || _office_size_tier@openubem/semantic/building_classifier.py,True || True,True || True,PRESENT
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,400,T02,openubem/semantic/building_classifier.py,True,True,PRESENT
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,406,T03,openubem/semantic/building_classifier.py,True,True,PRESENT
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,412,T04,openubem/data/openstudio_archetypes.json,True,True,PRESENT
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,418,T05,tests/test_building_classifier.py || synthetic_30_gdf@tests/test_building_classifier.py,True || True,True || True,PRESENT
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,424,T06,tests/test_building_classifier.py,True,True,PRESENT
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,434,T07,tests/test_building_classifier.py || tests/fixtures/labelled_archetypes_50.csv || TestDoePrototypeSelfClassification@tests/test_building_classifier.py || _row@tests/test_building_classifier.py || classify_building@tests/test_building_classifier.py || MediumOfficeDetailed@tests/test_building_classifier.py || SmallOfficeDetailed@tests/test_building_classifier.py,True || True || True || True || True || True || True,True || True || True || True || True || True || True,PRESENT
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,448,T09,,,,UNCHECKABLE
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,454,T12,tests/test_building_classifier.py || _LEVELS_CONSUMING@tests/test_building_classifier.py,True || True,True || True,PRESENT
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,460,T10,,,,UNCHECKABLE
docs/docs_DONE/BUGS/misclassification/PLAN_archetype_threshold_fix_E-R3-3.md,512,T11.6b,,,,UNCHECKABLE
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,148,T01,openubem/geometry/zoning.py,True,True,PRESENT
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,154,T02,tests/test_zoning.py || tests/test_idf_builder.py,True || True,True || True,PRESENT
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,160,T03,tests/test_results_parser.py,True,True,PRESENT
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,166,T04,scripts/diagnostics/pilot_zoning_fix.py || scripts/diagnostics/pilot_complete_run.py,True || True,True || True,PRESENT
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,172,T05,,,,UNCHECKABLE
docs/docs_DONE/BUGS/zoningBug/PLAN_zoning-multifloor-fix.md,178,T06,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,914,T01,openubem/semantic/provenance.py || tests/test_provenance.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,931,T02,openubem/idf/hvac.py || tests/test_tierB_provenance.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,956,T03,openubem/idf/dhw.py || openubem/idf/cooking.py || tests/test_tierB_provenance.py || openubem/idf/hvac.py || openubem/idf/refrigeration.py || _emit_ptac@openubem/idf/refrigeration.py || TestPTACGasHeatingEfficiencyProvenance@tests/test_tierB_provenance.py,True || True || True || True || True || True || True,True || True || True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1031,T06,openubem/semantic/spatial_impute.py || tests/test_spatial_impute.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1120,T05,openubem/semantic/building_classifier.py || tests/test_levels_groupwise.py || _impute_levels@openubem/semantic/building_classifier.py,True || True || True,True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1197,T04,openubem/semantic/construction_sets.py || openubem/semantic/__init__.py || tests/test_construction_sets.py || tests/test_vintage_donor.py || tests/test_building_classifier.py || tests/test_eui_impact.py,True || True || True || True || True || True,True || True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1307,T07,openubem/semantic/imputation.py || openubem/config.py || tests/test_imputation_routing.py || openubem/semantic/provenance.py || openubem/semantic/__init__.py || ImputeConfig@openubem/semantic/imputation.py || StrictImputationError@openubem/semantic/imputation.py,True || True || True || True || True || True || True,True || True || True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1412,T07.1,openubem/semantic/provenance.py || openubem/semantic/__init__.py || tests/test_provenance.py || LEGACY_TOKEN_WEIGHT@openubem/semantic/provenance.py || enrich_semantics@openubem/semantic/__init__.py || test_counts_and_confidence@tests/test_provenance.py,True || True || True || True || True || True,True || True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1464,T08,openubem/validation/__init__.py || openubem/validation/mask_recover.py || tests/test_mask_recover.py,True || True || True,True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1518,T07.2,"openubem/semantic/imputation.py || tests/test_imputation_routing.py || tests/test_mask_recover.py || openubem/validation/eui_impact.py || tests/test_eui_impact.py || openubem/validation/mask_recover.py || openubem/semantic/fusion.py || openubem/acquisition/overture_fetcher.py || openubem/config.py || tests/test_fusion.py || tests/test_fusion_license_guard.py || openubem/data/fixtures/fusion/LICENSES.md || openubem/data/fixtures/fusion/overture_nyc_centre_slice.parquet || openubem/data/osm_to_use_class.json || _spatial_tier@openubem/semantic/imputation.py || _statistical_tier@openubem/semantic/imputation.py || IMPUTE_ENABLED_TIERS@tests/test_fusion_license_guard.py || _fusion_tier@tests/test_fusion.py || test_default_impute_missing_calls_fusion_tier_as_byte_identical_noop@tests/test_fusion.py || MLImputer@openubem/semantic/imputation.py || _clamp_to_observed_range@openubem/semantic/imputation.py ||AUDIT NOTE: _clamp_to_observed_range: clamping IS implemented (np.clip on bounds inline in impute_column), just not factored into a function with this exact name -- functionally present, not a governance gap; not confirmed missing behavior",True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || False,True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || False,NEVER-COMMITTED -> RENAME/FALSE-POSITIVE
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1944,Manager,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/PLAN_input_imputation_implementation.md,1950,Manager,openubem/results/impute_scatter.py || _pooled_draw_pairs@openubem/results/impute_scatter.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/debugs/PLAN_phaseC_knn_repro_investigation.md,88,D01,openubem/config.py || openubem/semantic/imputation.py || openubem/validation/mask_recover.py,True || True || True,True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/debugs/PLAN_phaseC_knn_repro_investigation.md,117,D02,openubem/semantic/imputation.py,True,True,PRESENT
docs/docs_DONE/INPUTS/imputation/debugs/PLAN_phaseC_knn_repro_investigation.md,141,D03,openubem/semantic/spatial_impute.py || openubem/semantic/imputation.py || openubem/config.py || openubem/results/impute_scatter.py,True || True || True || True,True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/debugs/PLAN_phaseC_knn_repro_investigation.md,211,D04,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,382,T01,openubem/results/impute_figures.py || tests/test_impute_figures.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,411,T02,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,437,T03,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,451,T04,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,484,T05,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,498,T06,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,519,T07,openubem/results/impute_figures.py || main@openubem/results/impute_figures.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,579,T11,openubem/results/impute_scatter.py || _load_pooled_cells@openubem/results/impute_scatter.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,631,T12,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,675,T13,openubem/results/impute_montage.py || tests/test_impute_montage.py || _sort_key@openubem/results/impute_montage.py,True || True || True,True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,727,T14,openubem/results/impute_scatter.py,True,True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,755,T15,openubem/results/impute_figures.py,True,True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,788,T15b,openubem/results/impute_figures.py || build_arc_summary@openubem/results/impute_figures.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_figures_implementation.md,800,T16,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseC_ml_imputer.md,502,T11.1,openubem/semantic/imputation.py || BelowFloorError@openubem/semantic/imputation.py || _ML_METHOD_NAMES@openubem/semantic/imputation.py || _ML_FLOORS@openubem/semantic/imputation.py || _DEFAULT_ML_FEATURE_COLS@openubem/semantic/imputation.py || _assert_no_eui_leakage@openubem/semantic/imputation.py || _build_supervised_estimator@openubem/semantic/imputation.py || MLImputer@openubem/semantic/imputation.py || build_ml_imputer@openubem/semantic/imputation.py,True || True || True || True || True || True || True || True || True,True || True || True || True || True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseC_ml_imputer.md,512,T11.2,openubem/semantic/imputation.py || _tier_from_score@openubem/semantic/imputation.py || _rf_tree_dispersion@openubem/semantic/imputation.py || _mice_dispersion@openubem/semantic/imputation.py || _knn_dispersion@openubem/semantic/imputation.py,True || True || True || True || True,True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseC_ml_imputer.md,519,T11.3,openubem/semantic/imputation.py || openubem/config.py || _CANONICAL_TIER_ORDER@openubem/semantic/imputation.py || IMPUTE_ML_METHOD_BY_TARGET@openubem/config.py || IMPUTE_ML_FLOORS@openubem/config.py || IMPUTE_ENABLED_TIERS@openubem/config.py,True || True || True || True || True || True,True || True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseC_ml_imputer.md,529,T11.4,openubem/semantic/imputation.py || impute_column@openubem/semantic/imputation.py,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseC_ml_imputer.md,536,T11.5,openubem/semantic/imputation.py || openubem/config.py || tests/test_ml_imputer.py || tests/test_imputation_routing.py || tests/test_mask_recover.py || tests/test_imputation.py || tests/test_debias.py || save_ml_imputer@openubem/semantic/imputation.py || load_ml_imputer@openubem/semantic/imputation.py || TestBuildImputer@tests/test_ml_imputer.py || TestConfidence@tests/test_ml_imputer.py || TestRouting@tests/test_ml_imputer.py || TestImputeColumnAuto@tests/test_ml_imputer.py || TestPersistence@tests/test_ml_imputer.py || TestNoEUILeakage@tests/test_ml_imputer.py || TestOptInOnly@tests/test_ml_imputer.py || test_ml_imputer_stub_raises@tests/test_imputation.py || test_ml_imputer_below_floor_raises@tests/test_imputation.py || BelowFloorError@tests/test_imputation.py || NotImplementedError@tests/test_imputation.py || test_ml_force_enabled_raises_not_implemented@tests/test_imputation_routing.py || test_ml_force_enabled_below_floor_falls_through@tests/test_imputation_routing.py || impute_missing@tests/test_imputation_routing.py || impute_missing@openubem/semantic/imputation.py || _ml_tier@tests/test_debias.py,True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || False || True || True || False || False || True || True || True || True,True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True,MOVED
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseC_ml_imputer.md,636,T11.8,"openubem/semantic/debias.py || openubem/semantic/imputation.py || openubem/config.py || tests/test_debias.py || debias_newer_skew@openubem/semantic/debias.py || debias_stratified@openubem/semantic/debias.py || _thin_strata@openubem/semantic/debias.py || _ml_tier@openubem/semantic/imputation.py || year_built@openubem/config.py || height_m@openubem/config.py || use_class@openubem/config.py || function_tag@tests/test_debias.py || building_tag@tests/test_debias.py || min_donors@tests/test_debias.py || use_class@tests/test_debias.py || archetype_id@tests/test_debias.py || TestDebiasNewerSkewMarginalAndRank@tests/test_debias.py || TestDebiasPullsNewerSkewTowardDonorMean@tests/test_debias.py || IMPUTE_DEBIAS_NEWERSKEW@openubem/config.py ||AUDIT NOTE: NOT extracted as a candidate symbol by the automated pass (extraction-coverage miss) -- manually verified: `git log --all -S""IMPUTE_DEBIAS_NEWERSKEW"" -- openubem/config.py` returns empty on every branch; also empty for openubem/semantic/imputation.py. This is the exact symbol tests/test_debias.py::TestMlTierDebiasHook fails on live (T05 finding, AttributeError). GENUINE-GAP, same underlying incident as T11.8b.",True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || False,True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || True || False,NEVER-COMMITTED -> GENUINE-GAP
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseC_ml_imputer.md,663,T11.8b,openubem/semantic/imputation.py || tests/test_debias.py || openubem/semantic/debias.py || openubem/config.py || _DEBIAS_NEWERSKEW_QMAP_GLOBAL@openubem/semantic/imputation.py || _DEBIAS_NEWERSKEW_QMAP@openubem/semantic/imputation.py || _DEBIAS_SKIPPED_THINSTRATUM@openubem/semantic/imputation.py || TestMlTierDebiasHook@tests/test_debias.py || test_global_fallback_fires_when_no_stratifier_column_present@tests/test_debias.py || test_global_fallback_noop_below_min_donors@tests/test_debias.py || enrich_semantics@tests/test_debias.py || IMPUTE_ENABLED_TIERS@tests/test_debias.py ||AUDIT NOTE: _DEBIAS_NEWERSKEW_QMAP_GLOBAL/_DEBIAS_NEWERSKEW_QMAP/_DEBIAS_SKIPPED_THINSTRATUM: confirmed absent from openubem/semantic/imputation.py in all git history. N13's own raw first-pass caught this correctly; N13's correction pass wrongly flipped it to PRESENT by matching the symbol's mention in the PLAN DOCUMENT'S OWN PROSE via an unrestricted repo-wide grep -- confirmed bug in N13's correction methodology,True || True || True || True || False || False || False || True || True || True || True || True,True || True || True || True || False || False || False || True || True || True || True || True,NEVER-COMMITTED -> GENUINE-GAP
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseD_fusion.md,464,T12.1,openubem/semantic/fusion.py || FusionSource@openubem/semantic/fusion.py || _REGISTRY@openubem/semantic/fusion.py || register_source@openubem/semantic/fusion.py,True || True || True || True,True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseD_fusion.md,478,T12.2,openubem/acquisition/overture_fetcher.py || openubem/data/fixtures/fusion/overture_testcell_slice.parquet || fetch_overture@openubem/acquisition/overture_fetcher.py || _fetch_live@openubem/acquisition/overture_fetcher.py || _normalize@openubem/acquisition/overture_fetcher.py,True || True || True || True || True,True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseD_fusion.md,512,T12.3,openubem/data/fixtures/fusion/assessor_testcell.gpkg,True,True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseD_fusion.md,528,T12.4,openubem/config.py,True,True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseD_fusion.md,573,T12.5,tests/test_fusion_license_guard.py || openubem/data/fixtures/fusion/LICENSES.md || openubem/data/fixtures/__init__.py || openubem/data/fixtures/fusion/__init__.py || check_manifest@tests/test_fusion_license_guard.py,True || True || True || True || True,True || True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseD_fusion.md,632,T12.6,openubem/data/fixtures/fusion/overture_nyc_centre_slice.parquet || openubem/data/fixtures/fusion/LICENSES.md,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/docs_Done/PLAN_phaseD_fusion.md,815,T12-ship,"openubem/config.py || openubem/semantic/imputation.py || tests/test_imputation_routing.py || tests/test_fusion.py || IMPUTE_ENABLED_TIERS@tests/test_fusion.py || _fusion_tier@tests/test_fusion.py || test_default_tiers_never_touch_ml@tests/test_fusion.py || test_default_impute_missing_calls_fusion_tier_as_byte_identical_noop@tests/test_fusion.py ||AUDIT NOTE: test_default_tiers_never_touch_ml: IMPUTE_ENABLED_TIERS=('fusion','spatial','statistical') at HEAD matches the entry's core claim (fusion shipped); a near-identical test test_default_tiers_never_touch_fusion_or_ml exists at tests/test_imputation_routing.py:204 with equivalent intent -- plausible rename, not confirmed as a gap, insufficient evidence to call REAL-DEFECT either way",True || True || True || True || True || True || False || True,True || True || True || True || True || True || False || True,NEVER-COMMITTED -> RENAME/INCONCLUSIVE
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,596,T01,openubem/semantic/draw_methods.py || openubem/config.py || tests/test_draw_methods.py || TestDefaultByteIdentity@tests/test_draw_methods.py,True || True || True || True,True || True || True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,623,T02,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,660,T03,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,699,T04,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,739,T05,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,761,T06,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,785,T06b,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,849,T07,openubem/semantic/imputation.py || tests/test_draw_methods.py || _draw_tier@openubem/semantic/imputation.py || _draw_stratum_col_for@openubem/semantic/imputation.py || TestDrawTierRouting@tests/test_draw_methods.py ||AUDIT NOTE: _draw_tier/_draw_stratum_col_for: the already-known N13 control case. Confirmed still absent from openubem/semantic/imputation.py in all git history -- non-vacuity control PASSES,True || True || False || False || True,True || True || False || False || True,NEVER-COMMITTED -> GENUINE-GAP
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,896,T08,,,,UNCHECKABLE
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,910,T09,openubem/validation/mask_recover.py,True,True,PRESENT
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,946,T09b,"openubem/validation/mask_recover.py || tests/test_mask_recover.py || variance_ratio@openubem/validation/mask_recover.py || iqr_ratio@openubem/validation/mask_recover.py ||AUDIT NOTE: variance_ratio/iqr_ratio/energy_distance/score_categorical_tv/bootstrap_noise_floor/variance_ratio_bootstrap_ci/_as_2d: none of the 7 claimed additive functions exist in openubem/validation/mask_recover.py at HEAD or in any commit (git log -S on the exact file, each symbol, all empty) -- same abandoned draw-tier-support arc as T07, adjacent entry in the same file",True || True || False || False,True || True || False || False,NEVER-COMMITTED -> GENUINE-GAP
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,1037,T10,openubem/results/draw_leaderboard.py || openubem/outputs/draw_leaderboard_results.json,True || True,True || True,PRESENT
docs/docs_DONE/INPUTS/imputation/implementation/IMPLEMENTATION_phaseC_ml_imputer.md,1245,Manager,openubem/results/impute_scatter.py,True,True,PRESENT
docs/docs_DONE/LOADS & SCHEDULES/elevators/PLAN_elevator_loads_implementation.md,133,T01,openubem/data/loads/elevators_by_archetype.json,True,True,PRESENT
docs/docs_DONE/LOADS & SCHEDULES/elevators/PLAN_elevator_loads_implementation.md,147,T02,openubem/idf/elevators.py,True,True,PRESENT
docs/docs_DONE/LOADS & SCHEDULES/elevators/PLAN_elevator_loads_implementation.md,153,T03,tests/test_elevators.py,True,True,PRESENT
docs/docs_DONE/LOADS & SCHEDULES/elevators/PLAN_elevator_loads_implementation.md,159,T04,"openubem/idf/builder.py || tests/test_step3_orchestrator.py || openubem/data/loads/elevators_by_archetype.json || assign_refrigeration@tests/test_step3_orchestrator.py || test_medium_office_idf_contains_elevator_equipment@tests/test_step3_orchestrator.py ||AUDIT NOTE: test_medium_office_idf_contains_elevator_equipment: never committed to tests/test_step3_orchestrator.py in any commit (confirmed git log -S on the exact file). Exists only in the docs/docs_DONE/.../elevators/scripts/tests/ archived mirror copy (a different file, added in the same original commit ef19141) -- corroborates T05's independent finding that the elevator EUI breakout never landed in openubem/results/parser.py or openubem/idf/outputs.py",True || True || True || True || False,True || True || True || True || False,NEVER-COMMITTED -> GENUINE-GAP
docs/docs_DONE/LOADS & SCHEDULES/elevators/PLAN_elevator_loads_implementation.md,175,T05,openubem/results/parser.py || openubem/results/carbon.py || openubem/results/aggregator.py || tests/test_parser_elevators.py || tests/test_results_aggregator.py || METER_QUERY@openubem/results/parser.py || _parse_meters_sql@openubem/results/parser.py || _failed_row@tests/test_results_aggregator.py || _STEP5_COLS@tests/test_results_aggregator.py,True || True || True || True || True || True || True || True || True,True || True || True || True || True || True || True || True || True,PRESENT
docs/docs_DONE/LOADS & SCHEDULES/elevators/PLAN_elevator_loads_implementation.md,182,T06,scripts/validation/elevators_live_smoke.py,True,True,PRESENT
