osm_id,source,label,emitted,rule_token,confidence,match
240370254,boston_downtown_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
240370255,boston_downtown_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
816347155,boston_downtown_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
203026968,boston_downtown_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
212123864,boston_downtown_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
240311347,boston_downtown_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
127107026,chicago_loop_500m,HighriseApartment,HighriseApartment,RULE_RESIDENTIAL_TIER,HIGH,True
131670516,chicago_loop_500m,HighriseApartment,HighriseApartment,RULE_RESIDENTIAL_TIER,HIGH,True
147398352,chicago_loop_500m,HighriseApartment,HighriseApartment,RULE_RESIDENTIAL_TIER,HIGH,True
147478372,chicago_loop_500m,MidriseApartment,HighriseApartment,RULE_RESIDENTIAL_TIER,MEDIUM,False
147489621,chicago_loop_500m,HighriseApartment,HighriseApartment,RULE_RESIDENTIAL_TIER,HIGH,True
74268908,chicago_loop_500m,HighriseApartment,HighriseApartment,RULE_RESIDENTIAL_TIER,HIGH,True
124865478,chicago_loop_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
124873930,chicago_loop_500m,SmallOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,False
64398410,chicago_loop_500m,SuperTallBuilding,SuperTallBuilding,RULE_HIGHRISE,HIGH,True
1175801196,chicago_loop_500m,OpenUBEMUnknown,MediumOffice,FALLBACK_SIZE_DEFAULT,LOW,False
1175853280,chicago_loop_500m,OpenUBEMUnknown,MediumOffice,FALLBACK_SIZE_DEFAULT,LOW,False
73696288,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
147476152,chicago_loop_500m,LargeHotel,LargeHotel,RULE_LODGING_TIER,MEDIUM,True
147486325,chicago_loop_500m,LargeHotel,TallBuilding,RULE_HIGHRISE,HIGH,False
147486327,chicago_loop_500m,LargeHotel,LargeHotel,RULE_LODGING_TIER,MEDIUM,True
74451017,chicago_loop_500m,UNDETERMINED,LargeHotel,RULE_LODGING_TIER,MEDIUM,
108240981,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
124865455,chicago_loop_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
124865459,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
124865481,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
124873928,chicago_loop_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
124873941,chicago_loop_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
144846547,chicago_loop_500m,SuperTallBuilding,SuperTallBuilding,RULE_HIGHRISE,HIGH,True
145080935,chicago_loop_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
145625873,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
145890500,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
147013784,chicago_loop_500m,SmallOffice,SmallOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
147095644,chicago_loop_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
147095656,chicago_loop_500m,SmallOffice,SmallOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
147095665,chicago_loop_500m,SmallOffice,SmallOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
147095666,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
147397536,chicago_loop_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
147476145,chicago_loop_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
147613447,chicago_loop_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
147776396,chicago_loop_500m,SmallOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,False
148164098,chicago_loop_500m,SmallOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,False
148164123,chicago_loop_500m,SmallOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,False
148685510,chicago_loop_500m,MediumOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,False
230613007,chicago_loop_500m,SuperTallBuilding,SuperTallBuilding,RULE_HIGHRISE,HIGH,True
64888073,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
74451056,chicago_loop_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
144846551,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
145498709,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
74268686,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
108240964,chicago_loop_500m,Courthouse,Courthouse,RULE_FUNCTION_TAG,HIGH,True
64888389,chicago_loop_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
147398357,chicago_loop_500m,RetailStandalone,RetailStandalone,RULE_FUNCTION_TAG,MEDIUM,True
147613448,chicago_loop_500m,UNDETERMINED,RetailStandalone,RULE_FUNCTION_TAG,MEDIUM,
147776392,chicago_loop_500m,RetailStandalone,RetailStandalone,RULE_FUNCTION_TAG,HIGH,True
1175466068,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
1175853207,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
1176324902,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
1177936133,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
1179640661,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
1179798266,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
1267997229,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
590536152,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
1176300336,chicago_loop_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
35601478,chicago_loop_500m,College,College,RULE_FUNCTION_TAG,MEDIUM,True
35601479,chicago_loop_500m,College,College,RULE_FUNCTION_TAG,MEDIUM,True
