osm_id,source_fixture,expected_archetype,expected_coarse_class,archetype_id,archetype_confidence,archetype_source,rule_token,fine_match,notes
408746594,boston_downtown_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,4fl x 65m2 = 260m2 tiny -> SmallOffice
458716891,boston_downtown_500m,MediumOffice,commercial,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,commercial 7fl x 376m2 = 2630m2 -> MediumOffice
6778334,boston_downtown_500m,TallBuilding,commercial,TallBuilding,HIGH,RULE_HIGHRISE,RULE_HIGHRISE,True,commercial 31fl >= 20 -> TallBuilding
6778352,boston_downtown_500m,LargeOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,commercial 6fl x 2762m2 = 16570m2 -> LargeOffice
6780006,boston_downtown_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,4fl x 442m2 = 1769m2 < 2322 -> SmallOffice (E-R3-3 CBES bins)
816253624,boston_downtown_500m,LargeHotel,commercial,LargeHotel,MEDIUM,RULE_LODGING_TIER,RULE_LODGING_TIER,True,hotel tag 18fl >= 4 -> LargeHotel
816270033,boston_downtown_500m,RetailStandalone,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,False,single-floor 495m2 downtown footprint -> RetailStandalone
816277587,boston_downtown_500m,SmallHotel,commercial,SmallHotel,MEDIUM,RULE_LODGING_TIER,RULE_LODGING_TIER,True,hotel tag 3fl < 4 -> SmallHotel
828942041,boston_downtown_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,18m ~6fl x 187m2 = ~1120m2 < 2322 -> SmallOffice (E-R3-3 CBES bins)
108240968,chicago_loop_500m,Courthouse,commercial,Courthouse,HIGH,RULE_FUNCTION_TAG,RULE_FUNCTION_TAG,True,public + government function tag direct match
1176847736,chicago_loop_500m,OpenUBEMUnknown,commercial,OpenUBEMUnknown,LOW,FALLBACK_UNKNOWN,FALLBACK_UNKNOWN,True,'roof' tag (canopy/non-building) -> fallback
1179634528,chicago_loop_500m,OpenUBEMUnknown,commercial,OpenUBEMUnknown,LOW,FALLBACK_UNKNOWN,FALLBACK_UNKNOWN,True,'roof' tag (canopy/non-building) -> fallback
1181800625,chicago_loop_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,tiny 127m2 no info Chicago Loop -> SmallOffice
1182074521,chicago_loop_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,tiny 123m2 no info Chicago Loop -> SmallOffice
1182086850,chicago_loop_500m,QuickServiceRestaurant,commercial,QuickServiceRestaurant,HIGH,RULE_FUNCTION_TAG,RULE_FUNCTION_TAG,True,cafe function tag -> QuickServiceRestaurant
124865475,chicago_loop_500m,OpenUBEMUnknown,commercial,OpenUBEMUnknown,LOW,FALLBACK_UNKNOWN,FALLBACK_UNKNOWN,True,'service' tag uncommon no function -> fallback
124865497,chicago_loop_500m,SmallOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,False,office tag 2144m2 no floor data 1fl < 2322 -> SmallOffice (E-R3-3 CBES bins)
124873931,chicago_loop_500m,LargeOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,office 17fl x 2720m2 = 46240m2 -> LargeOffice
124873932,chicago_loop_500m,LargeOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,office 17fl x 4785m2 = 81350m2 -> LargeOffice
145080938,chicago_loop_500m,OpenUBEMUnknown,commercial,Courthouse,HIGH,RULE_USE_CLASS,RULE_USE_CLASS,False,synagogue/place_of_worship not in 30-vocab -> fallback
145208573,chicago_loop_500m,LargeOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,office 13fl x 1731m2 = 22500m2 -> LargeOffice
147398361,chicago_loop_500m,MediumOffice,commercial,MediumOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,5fl x 661m2 = 3305m2 generic Loop -> MediumOffice
147476145,chicago_loop_500m,MediumOffice,commercial,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,office 5fl x 1078m2 = 5389m2 in 2322-9290 band -> MediumOffice (E-R3-3 CBES bins)
147489623,chicago_loop_500m,SmallOffice,commercial,SmallOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,commercial 4fl x 540m2 = 2161m2 < 2322 -> SmallOffice (E-R3-3 CBES bins)
147613444,chicago_loop_500m,RetailStandalone,commercial,RetailStandalone,MEDIUM,RULE_FUNCTION_TAG,RULE_FUNCTION_TAG,True,retail tag 2fl x 389m2 = 778m2 -> RetailStandalone
210671718,chicago_loop_500m,MediumOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,False,commercial 3136m2 no floor data -> MediumOffice
64398410,chicago_loop_500m,SuperTallBuilding,commercial,SuperTallBuilding,HIGH,RULE_HIGHRISE,RULE_HIGHRISE,True,commercial 60fl >= 40 -> SuperTallBuilding
73743983,chicago_loop_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,7fl x 245m2 = 1713m2 < 2322 -> SmallOffice (E-R3-3 CBES bins)
73751952,chicago_loop_500m,TallBuilding,commercial,TallBuilding,HIGH,RULE_HIGHRISE,RULE_HIGHRISE,True,office 27fl >= 20 -> TallBuilding
