stem,cell,stage,source_file,footprint_area_m2,polygon_area_m2,note
way_472961171,la_rural,4_sim_manifest_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=4"
way_472960972,la_rural,4_sim_manifest_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=26"
way_472961034,la_rural,4_sim_manifest_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=7"
way_472961088,la_rural,4_sim_manifest_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=4"
way_472961091,la_rural,4_sim_manifest_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=12"
way_472961171,la_rural,4_sim_manifest_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=4"
way_472960972,la_rural,5_results_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472961034,la_rural,5_results_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472961088,la_rural,5_results_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472961091,la_rural,5_results_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472961171,la_rural,5_results_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472960972,la_rural,5_results_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472961034,la_rural,5_results_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472961088,la_rural,5_results_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472961091,la_rural,5_results_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472961171,la_rural,5_results_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_rural/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_472960972,la_rural,5_results_E02_harvest_auto,openubem/outputs/comparisons/open01_denominator_audit.csv,200.0,,"separate E02 diagnostic campaign (40,800 runs, not the adopted baseline); area_multiplier_aware_m2(simulated)=10081.23, error_factor=50.40615"
way_472961034,la_rural,5_results_E02_harvest_auto,openubem/outputs/comparisons/open01_denominator_audit.csv,200.0,,"separate E02 diagnostic campaign (40,800 runs, not the adopted baseline); area_multiplier_aware_m2(simulated)=4193.82, error_factor=20.9691"
way_472961088,la_rural,5_results_E02_harvest_auto,openubem/outputs/comparisons/open01_denominator_audit.csv,200.0,,"separate E02 diagnostic campaign (40,800 runs, not the adopted baseline); area_multiplier_aware_m2(simulated)=4667.19, error_factor=23.33595"
way_472961091,la_rural,5_results_E02_harvest_auto,openubem/outputs/comparisons/open01_denominator_audit.csv,200.0,,"separate E02 diagnostic campaign (40,800 runs, not the adopted baseline); area_multiplier_aware_m2(simulated)=4063.68, error_factor=20.3184"
way_472961171,la_rural,5_results_E02_harvest_auto,openubem/outputs/comparisons/open01_denominator_audit.csv,200.0,,"separate E02 diagnostic campaign (40,800 runs, not the adopted baseline); area_multiplier_aware_m2(simulated)=67330.38, error_factor=336.6519"
way_402215469,la_urban,1_acquisition,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_urban/01_buildings.gpkg,1173.368430865668,1173.368430865668,real OSM-derived footprint; levels=6.0; geometry.area (EPSG:32611) matches stored footprint_area_m2 exactly
way_402215469,la_urban,2_3_enrichment_idf,NONE FOUND ON DISK (03_manifest.parquet does not exist for this cell),,,no persisted Stage-2/3 artifact; enrichment + IDF build run in-memory inside scripts/validation/v12_cell_pipeline.py in the same process that writes 04_simulation_manifest.parquet and 05_results
way_402215469,la_urban,4_sim_manifest_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_urban/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=24"
way_402215469,la_urban,4_sim_manifest_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_urban/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=24"
way_402215469,la_urban,5_results_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_urban/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_402215469,la_urban,5_results_phaseE_elevrb,docs/docs_VALIDATION/validations/overAll/results/phaseE_elevrb/la_urban/05_results.csv,200.0,,"WRITER: scripts/validation/v12_cell_pipeline.py:659 (_build_enriched_gdf default, never overwritten because simulation_status=not_simulated != success); total_eui_kwh_m2=nan"
way_402215469,la_urban,5_results_E02_harvest_auto,openubem/outputs/comparisons/open01_denominator_audit.csv,200.0,,"separate E02 diagnostic campaign (40,800 runs, not the adopted baseline); area_multiplier_aware_m2(simulated)=7077.840000000001, error_factor=35.3892"
